################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.2022541139567307E-01 a         1     0     1     1     1
  3.6677278731830715E-01 a         2     0     1     1     2
  2.5243668176135919E-01 a         3     0     1     1     3
  3.9446647537141433E-01 a         4     0     1     1     4
 -7.5345497178979634E-02 a         5     0     1     1     5
 -2.4243819113569479E-01 a         6     0     1     1     6
 -2.4726799808987021E-01 a         7     0     1     1     7
  2.8230455522326164E-01 a         8     0     1     1     8
 -1.6815852138516815E-01 a         9     0     1     1     9
 -2.1826948582237940E-01 a        10     0     1     1    10
  3.4831954589838487E-01 a        11     0     1     1    11
  9.3994219625111175E-02 a        12     0     1     1    12
  1.1661444978181838E-01 a        13     0     1     1    13
  7.4637153377199020E-02 a        14     0     1     1    14
 -3.4757642457947174E-01 a        15     0     1     1    15
  3.4371347389581691E-01 a        16     0     1     1    16
 -4.9144928580908603E-02 a        17     0     1     1    17
  2.8177918315757761E-01 a        18     0     1     1    18
 -3.7508758026367045E-01 a        19     0     1     1    19
 -5.1884118633874587E-01 a        20     0     1     1    20
  3.9011591878121821E-01 a        21     0     1     1    21
 -1.4519189199006260E-01 a        22     0     1     1    22
  4.7116325918256347E-01 a        23     0     1     1    23
 -5.6726452005220962E-01 a        24     0     1     1    24
  5.7210712895985116E-01 a        25     0     1     1    25
 -5.7234986101864904E-01 a        26     0     2     1     1
  7.4678071210638064E-01 a        27     0     2     1     2
  5.1505033862917027E-01 a        28     0     2     1     3
  4.1098531865916837E-01 a        29     0     2     1     4
  9.0623876426386488E-02 a        30     0     2     1     5
  4.3699201835369350E-03 a        31     0     2     1     6
  2.2228586729297118E-03 a        32     0     2     1     7
  2.7806664645364970E-01 a        33     0     2     1     8
 -1.0795665470527646E-01 a        34     0     2     1     9
  4.1143748486345354E-02 a        35     0     2     1    10
  8.2352907393838853E-02 a        36     0     2     1    11
  1.4563352944323998E-01 a        37     0     2     1    12
 -3.4800186191929572E-01 a        38     0     2     1    13
  1.9936060870321143E-01 a        39     0     2     1    14
 -2.1242413718165529E-01 a        40     0     2     1    15
 -6.3505381026620011E-01 a        41     0     2     1    16
  5.2705226724665599E-01 a        42     0     2     1    17
 -2.3766237793628249E-02 a        43     0     2     1    18
 -3.7297798404411830E-02 a        44     0     2     1    19
  4.0041706793016363E-01 a        45     0     2     1    20
 -4.4155591807420302E-01 a        46     0     2     1    21
 -1.8222874520015427E-02 a        47     0     2     1    22
 -1.9363395573319825E-01 a        48     0     2     1    23
  2.5491656566119775E-01 a        49     0     2     1    24
 -2.7732591522575850E-01 a        50     0     2     1    25
 -3.1150846081719569E-01 a        51     0     3     1     1
  1.9717812407127755E-01 a        52     0     3     1     2
  5.4188997456531252E-01 a        53     0     3     1     3
  5.2300364019422163E-01 a        54     0     3     1     4
 -3.7793908752497174E-01 a        55     0     3     1     5
 -5.2431361106423846E-01 a        56     0     3     1     6
  5.9399488663032052E-01 a        57     0     3     1     7
  4.3855863308427678E-01 a        58     0     3     1     8
  5.0076405110957611E-01 a        59     0     3     1     9
 -2.8761179487036470E-01 a        60     0     3     1    10
  3.5612758076044065E-01 a        61     0     3     1    11
  2.3055178073757340E-01 a        62     0     3     1    12
 -1.8973210452031788E-01 a        63     0     3     1    13
 -3.0649203382623469E-01 a        64     0     3     1    14
 -7.1745923335490269E-01 a        65     0     3     1    15
  4.8067810804959998E-01 a        66     0     3     1    16
 -1.7293065757312673E-01 a        67     0     3     1    17
  1.5256319619074274E-01 a        68     0     3     1    18
  1.2542804069651450E-01 a        69     0     3     1    19
  4.6992982691124718E-01 a        70     0     3     1    20
  1.3193383559028202E-01 a        71     0     3     1    21
  2.7235150902403327E-01 a        72     0     3     1    22
 -2.4863393112488238E-01 a        73     0     3     1    23
 -2.4865904480488987E-01 a        74     0     3     1    24
  4.9589579333332301E-02 a        75     0     3     1    25
 -1.1837615104815569E-01 a        76     0     4     1     1
  1.5038144386700783E-01 a        77     0     4     1     2
 -3.1176963359343784E-01 a        78     0     4     1     3
  2.3773096026689403E-01 a        79     0     4     1     4
 -2.9061981479560806E-01 a        80     0     4     1     5
  2.6128150325310173E-01 a        81     0     4     1     6
  2.1659163881193175E-01 a        82     0     4     1     7
 -9.8939971748448430E-02 a        83     0     4     1     8
  1.8254373005867472E-01 a        84     0     4     1     9
  2.3435175297899585E-01 a        85     0     4     1    10
 -3.3939245110626093E-01 a        86     0     4     1    11
 -1.5943635651794966E-01 a        87     0     4     1    12
 -3.6565869701187143E-01 a        88     0     4     1    13
 -1.9215342834513433E-01 a        89     0     4     1    14
  5.3368916194271321E-01 a        90     0     4     1    15
  2.4524281336840503E-01 a        91     0     4     1    16
 -3.3946408823522795E-01 a        92     0     4     1    17
  3.0254799278484340E-01 a        93     0     4     1    18
 -1.5809897066802325E-01 a        94     0     4     1    19
  8.2585317065518183E-03 a        95     0     4     1    20
  4.4112833736848434E-01 a        96     0     4     1    21
  2.5665094706102271E-01 a        97     0     4     1    22
 -2.9779169194988458E-01 a        98     0     4     1    23
  7.4159123375679384E-02 a        99     0     4     1    24
 -2.2487092404682732E-01 a       100     0     4     1    25
 -1.4917031372626255E-02 a       101     0     5     1     1
 -2.3938767296611249E-02 a       102     0     5     1     2
 -4.8753037549579847E-01 a       103     0     5     1     3
 -8.5878169391512493E-02 a       104     0     5     1     4
  3.7870103079938056E-01 a       105     0     5     1     5
 -4.9299518843600509E-01 a       106     0     5     1     6
 -2.1555886627373591E-01 a       107     0     5     1     7
  2.0611419751717200E-01 a       108     0     5     1     8
  5.5499590767552198E-01 a       109     0     5     1     9
  1.8443948617291798E-03 a       110     0     5     1    10
 -1.0072366127384814E-01 a       111     0     5     1    11
 -8.6976769042565558E-02 a       112     0     5     1    12
  7.7332801918931915E-01 a       113     0     5     1    13
 -2.0741604926384583E-01 a       114     0     5     1    14
 -1.6411566680813966E-01 a       115     0     5     1    15
 -1.0193769537825591E-01 a       116     0     5     1    16
 -3.2245073956340513E-02 a       117     0     5     1    17
  1.5211119352914027E-01 a       118     0     5     1    18
  5.9898978132453684E-01 a       119     0     5     1    19
