################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3010423123780044E-01 a         1     0     1     1     1
  3.1249528755715139E-01 a         2     0     1     1     2
 -9.3515369558559311E-02 a         3     0     1     1     3
 -2.9774715630932130E-01 a         4     0     1     1     4
  4.8051035747568221E-02 a         5     0     1     1     5
 -2.2382281743350180E-01 a         6     0     1     1     6
  2.6980327725205228E-01 a         7     0     1     1     7
  1.3096862382160671E-01 a         8     0     1     1     8
 -1.9623867752043470E-01 a         9     0     1     1     9
  1.7503062471326686E-01 a        10     0     1     1    10
  2.8905306689103449E-01 a        11     0     1     1    11
  5.4226672962977202E-02 a        12     0     1     1    12
 -3.9362695095996886E-01 a        13     0     1     1    13
 -9.3758962583431679E-02 a        14     0     1     1    14
  1.6525696948993678E-02 a        15     0     1     1    15
  2.7448650314808476E-01 a        16     0     2     1     1
 -1.5980956601556426E-01 a        17     0     2     1     2
 -4.3540125831998766E-01 a        18     0     2     1     3
 -4.6615014680728539E-01 a        19     0     2     1     4
  3.8219924691331797E-01 a        20     0     2     1     5
 -3.1094128885882616E-01 a        21     0     2     1     6
 -4.5857916412922994E-01 a        22     0     2     1     7
 -1.9593907371562022E-01 a        23     0     2     1     8
  4.0804594207487799E-01 a        24     0     2     1     9
 -9.3885038944102231E-02 a        25     0     2     1    10
  8.2680109340725894E-03 a        26     0     2     1    11
 -3.5407345969297099E-01 a        27     0     2     1    12
 -1.5840355083854776E-01 a        28     0     2     1    13
 -1.0023707663027691E-01 a        29     0     2     1    14
  2.1949573888021823E-01 a        30     0     2     1    15
  2.1448155608049821E-01 a        31     0     3     1     1
  1.9654865998441717E-01 a        32     0     3     1     2
 -1.7394061012932396E-01 a        33     0     3     1     3
  1.3520375047142869E-01 a        34     0     3     1     4
  3.0809103380284542E-01 a        35     0     3     1     5
  3.2730212770089522E-02 a        36     0     3     1     6
  3.1288499719659074E-01 a        37     0     3     1     7
  3.6226563187083027E-01 a        38     0     3     1     8
 -3.4643860286494843E-01 a        39     0     3     1     9
  3.9873023753531206E-01 a        40     0     3     1    10
  3.1211533813061437E-01 a        41     0     3     1    11
 -5.6465156406864468E-02 a        42     0     3     1    12
 -3.1185684238390649E-01 a        43     0     3     1    13
 -2.6887503530621915E-01 a        44     0     3     1    14
 -4.1187651345259818E-01 a        45     0     3     1    15
 -3.2563044813773745E-01 a        46     0     4     1     1
  2.4526235105325762E-02 a        47     0     4     1     2
  3.3882396066399853E-02 a        48     0     4     1     3
  2.0214375370864951E-01 a        49     0     4     1     4
  1.5869768228433015E-01 a        50     0     4     1     5
  3.6618632182467466E-03 a        51     0     4     1     6
  8.3663897505239532E-02 a        52     0     4     1     7
  3.1286074018486187E-01 a        53     0     4     1     8
 -8.5704782168765273E-02 a        54     0     4     1     9
 -4.1513103036413646E-01 a        55     0     4     1    10
  4.3618691031519741E-01 a        56     0     4     1    11
 -3.4965920545087792E-01 a        57     0     4     1    12
 -3.8956627547879802E-04 a        58     0     4     1    13
  3.6284859319218382E-01 a        59     0     4     1    14
  3.2992925551767510E-01 a        60     0     4     1    15
  1.6407125518238391E-01 a        61     0     5     1     1
 -2.7365040854483030E-01 a        62     0     5     1     2
 -3.0760074002912829E-01 a        63     0     5     1     3
  2.6214107643958479E-01 a        64     0     5     1     4
  4.0924863498944414E-01 a        65     0     5     1     5
  3.6876820511216185E-01 a        66     0     5     1     6
  3.5966415034193716E-01 a        67     0     5     1     7
  9.3619707273280336E-03 a        68     0     5     1     8
 -3.6362635967754403E-01 a        69     0     5     1     9
 -1.3536590776908161E-01 a        70     0     5     1    10
 -3.3044792492327840E-01 a        71     0     5     1    11
 -4.0186540908226953E-01 a        72     0     5     1    12
  2.2808532385819566E-01 a        73     0     5     1    13
