################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
        48        960   7.61033245E+01   5.07527334E-01   9.46792667E-17   2.75216200E-02   8.93365374E-07   1.12067347E+00
        49        980   7.57197134E+01   5.08033812E-01   9.57893490E-17   5.94101590E-02   8.93365374E-07   1.12067347E+00
        50       1000   7.55049068E+01   5.09018978E-01   9.64111366E-17   6.67744979E-03   8.93365374E-07   1.12067347E+00
        51       1020   7.52069768E+01   5.07867279E-01   9.72935111E-17   4.63861422E-02   8.93365374E-07   1.12067347E+00
        52       1040   7.50540418E+01   5.08554597E-01   9.77405364E-17   4.40239635E-02   8.93365374E-07   1.12067347E+00
        53       1060   7.50136110E+01   5.08725178E-01   9.78420635E-17   5.04186068E-02   8.93365374E-07   1.12067347E+00
        54       1080   7.47745501E+01   5.08102307E-01   9.85493620E-17   4.50316604E-02   8.93365374E-07   1.12067347E+00
        55       1100   7.46744192E+01   5.08519864E-01   9.88280501E-17   4.05967171E-02   8.93365374E-07   1.12067347E+00
        56       1120   7.43777199E+01   5.07785951E-01   9.96753406E-17   4.32057918E-02   8.93365374E-07   1.12067347E+00
        57       1140   7.40832655E+01   5.07821880E-01   1.00523289E-16   3.83937908E-02   8.93365374E-07   1.12067347E+00
        58       1160   7.40319190E+01   5.08271429E-01   1.00659067E-16   1.88117470E-02   8.93365374E-07   1.12067347E+00
        59       1180   7.37901618E+01   5.06664354E-01   1.01320674E-16   4.28921570E-02   8.93365374E-07   1.12067347E+00
        60       1200   7.36749918E+01   5.07100006E-01   1.01641158E-16   2.07898451E-02   8.93365374E-07   1.12067347E+00
        61       1220   7.33605224E+01   5.05157910E-01   1.02474493E-16   2.93999596E-02   8.93365374E-07   1.12067347E+00
        62       1240   7.30810131E+01   5.03462219E-01   1.03198688E-16   4.15972715E-02   8.93365374E-07   1.12067347E+00
        63       1260   7.28833847E+01   5.02865814E-01   1.03757321E-16   7.72703546E-02   8.93365374E-07   1.12067347E+00
        64       1280   7.26648071E+01   5.02252722E-01   1.04349090E-16   4.95938481E-02   8.93365374E-07   1.12067347E+00
        65       1300   7.24509862E+01   5.01131286E-01   1.04891412E-16   5.99748828E-02   8.93365374E-07   1.12067347E+00
        66       1320   7.22969014E+01   5.01015840E-01   1.05340341E-16   8.22218737E-02   8.93365374E-07   1.12067347E+00
        67       1340   7.22470062E+01   5.00957093E-01   1.05472918E-16   3.29980475E-02   8.93365374E-07   1.12067347E+00
