################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.1558714647752120E-01 a       116     0     8     1    11
 -3.2438230245424166E-01 a       117     0     8     1    12
 -1.9158258743016224E-01 a       118     0     8     1    13
  5.1455456343235048E-02 a       119     0     8     1    14
 -1.4844325300801689E-01 a       120     0     8     1    15
 -4.6252682113679194E-01 a       121     0     9     1     1
 -2.3474263145741703E-01 a       122     0     9     1     2
  2.6843078038979246E-02 a       123     0     9     1     3
 -7.7565851418594567E-02 a       124     0     9     1     4
 -2.9677531397005030E-01 a       125     0     9     1     5
  3.4442765162535895E-02 a       126     0     9     1     6
 -1.6149946661477343E-01 a       127     0     9     1     7
  5.1980896004299026E-01 a       128     0     9     1     8
  2.4348053729443381E-03 a       129     0     9     1     9
 -2.1500494298884271E-01 a       130     0     9     1    10
 -1.0152027130933730E-01 a       131     0     9     1    11
 -2.6795216714462838E-01 a       132     0     9     1    12
  1.3241366176087205E-01 a       133     0     9     1    13
  1.9861272876825517E-01 a       134     0     9     1    14
 -1.3870585695170926E-01 a       135     0     9     1    15
  2.0686249947576413E-01 a       136     0    10     1     1
 -3.1447067538985279E-01 a       137     0    10     1     2
 -3.6703813132325108E-01 a       138     0    10     1     3
 -7.9301006020403075E-02 a       139     0    10     1     4
 -4.8747273510813616E-01 a       140     0    10     1     5
  1.5003295378500164E-01 a       141     0    10     1     6
  3.4085660527338352E-01 a       142     0    10     1     7
 -4.9576489500911813E-01 a       143     0    10     1     8
 -1.8018970149992597E-01 a       144     0    10     1     9
 -4.3225560590926632E-01 a       145     0    10     1    10
 -4.8170886514533190E-02 a       146     0    10     1    11
  2.0755711124778020E-01 a       147     0    10     1    12
  6.6908725563581573E-02 a       148     0    10     1    13
  2.3773300484150048E-01 a       149     0    10     1    14
 -5.0721807392948452E-02 a       150     0    10     1    15
 -8.5829417453100687E-02 a       151     0    11     1     1
 -4.3689034355222206E-01 a       152     0    11     1     2
 -3.2018590997261870E-01 a       153     0    11     1     3
  2.4532546079863402E-01 a       154     0    11     1     4
  5.2690643080667887E-01 a       155     0    11     1     5
 -5.4989538605797153E-02 a       156     0    11     1     6
 -2.3654152057201663E-01 a       157     0    11     1     7
 -3.1415083494765134E-01 a       158     0    11     1     8
  3.7486653707515943E-01 a       159     0    11     1     9
  1.2582643608715614E-02 a       160     0    11     1    10
  5.3045947507298474E-01 a       161     0    11     1    11
 -1.1651103783773065E-01 a       162     0    11     1    12
 -4.8835219027165572E-01 a       163     0    11     1    13
  6.1177507299685685E-01 a       164     0    11     1    14
  3.1031909326980045E-01 a       165     0    11     1    15
  3.3310644752411483E-01 a       166     0    12     1     1
 -6.3026748055064988E-02 a       167     0    12     1     2
  1.2852963707086373E-01 a       168     0    12     1     3
 -1.5052248375088451E-01 a       169     0    12     1     4
 -9.7219016631874586E-02 a       170     0    12     1     5
 -1.7330503675360528E-01 a       171     0    12     1     6
  4.2954457633449827E-01 a       172     0    12     1     7
 -1.1759415550035021E-01 a       173     0    12     1     8
 -3.1163442878124564E-01 a       174     0    12     1     9
  3.0191984143500744E-01 a       175     0    12     1    10
  1.2741553375194564E-01 a       176     0    12     1    11
  3.9589840023668200E-02 a       177     0    12     1    12
  1.3884373274800077E-01 a       178     0    12     1    13
  1.9613451799335607E-01 a       179     0    12     1    14
 -1.4307809858549619E-01 a       180     0    12     1    15
  1.9232936247250826E-01 a       181     0    13     1     1
  9.8254943259968308E-02 a       182     0    13     1     2
 -4.3298394914484652E-02 a       183     0    13     1     3
  1.2942316725412464E-01 a       184     0    13     1     4
 -3.2863611600817894E-01 a       185     0    13     1     5
  3.0013674466866103E-01 a       186     0    13     1     6
  4.4280598461333204E-01 a       187     0    13     1     7
  3.1429893797804526E-01 a       188     0    13     1     8
  2.7165771456923954E-01 a       189     0    13     1     9
  1.8348150184670033E-02 a       190     0    13     1    10
 -4.0815175434076378E-01 a       191     0    13     1    11
  6.5208608957301240E-01 a       192     0    13     1    12
 -8.8208122383645643E-02 a       193     0    13     1    13
  5.4412812100591612E-01 a       194     0    13     1    14
  2.9415452582273577E-01 a       195     0    13     1    15
 -3.8887887641717328E-01 a       196     0    14     1     1
 -1.7212268618049753E-01 a       197     0    14     1     2
 -4.9181930702373450E-02 a       198     0    14     1     3
  9.9185783624594903E-02 a       199     0    14     1     4
 -2.8915029450208746E-01 a       200     0    14     1     5
  3.9678948493711869E-01 a       201     0    14     1     6
 -2.6760624168380909E-01 a       202     0    14     1     7
 -4.8426500560818192E-01 a       203     0    14     1     8
  3.1261101253924711E-01 a       204     0    14     1     9
  1.2971865181017450E-01 a       205     0    14     1    10
 -3.6913559982445893E-01 a       206     0    14     1    11
  1.2320286595272023E-01 a       207     0    14     1    12
 -4.5677878739737293E-01 a       208     0    14     1    13
 -1.7196577448733855E-01 a       209     0    14     1    14
 -2.1755900735666223E-01 a       210     0    14     1    15
 -1.2277497143110148E-01 a       211     0    15     1     1
 -4.8840898707742358E-01 a       212     0    15     1     2
 -3.3156124125881888E-03 a       213     0    15     1     3
 -1.9659768819259194E-01 a       214     0    15     1     4
 -8.9629389598927189E-02 a       215     0    15     1     5
 -1.5415118107180170E-01 a       216     0    15     1     6
  5.2539138568737376E-01 a       217     0    15     1     7
 -1.4773202947016464E-01 a       218     0    15     1     8
  3.2226310088869636E-01 a       219     0    15     1     9
 -6.1101639976324607E-01 a       220     0    15     1    10
  9.3733234679569719E-02 a       221     0    15     1    11
  3.8878637411641370E-01 a       222     0    15     1    12
  2.2738444576391567E-01 a       223     0    15     1    13
  1.1018812576910708E-01 a       224     0    15     1    14
  5.1059202910907797E-01 a       225     0    15     1    15
 -2.7803488120946723E-01 b       226     1     1
  3.0161299109518810E-02 b       227     1     2
  3.0953056471050217E-01 b       228     1     3
  2.8670178058213747E-01 b       229     1     4
  3.2998216881733222E-01 b       230     1     5
 -1.5860595919800907E-02 b       231     1     6
  1.8480200917964140E-01 b       232     1     7
  3.0867285099086361E-01 b       233     1     8
  1.3980869408474450E-01 b       234     1     9
  2.7216942948475192E-01 b       235     1    10
  1.2536085264436278E-01 b       236     1    11
 -1.2829031005702670E-02 b       237     1    12
 -2.5876782721166586E-01 b       238     1    13
  8.0751379215312225E-02 b       239     1    14
  9.8964577020001276E-02 b       240     1    15
 -1.8318663975169613E-01 a       241     1     1     2     1
  5.8337956936200430E-01 a       242     1     1     2     2
  1.4989103869330200E-01 a       243     1     1     2     3
 -5.3527011395887247E-01 a       244     1     1     2     4
 -1.4856350440970367E-01 a       245     1     1     2     5
 -3.6950815750491184E-01 a       246     1     1     2     6
  2.2492038507493074E-02 a       247     1     1     2     7
  3.3071066827377343E-01 a       248     1     1     2     8
  2.9219026106162582E-01 a       249     1     1     2     9
 -2.1997843702699474E-01 a       250     1     1     2    10
 -3.3960461197307734E-01 a       251     1     1     2    11
 -3.4312460679758094E-01 a       252     1     1     2    12
 -3.0479970065964945E-01 a       253     1     1     2    13
