################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         2         21         20  -6.98701423E-01   6.48777385E-01  -2.68451035E-02   2.96620290E-01
         2         22         20  -1.08839677E-01   3.84958736E-01   1.19892620E-01   1.15464468E-01
         2         23         20  -5.17480953E-01   5.38239215E-01   5.06653902E-02   2.44435044E-01
         2         24         20  -9.05770842E-01   6.28877095E-01  -1.49541977E-01   3.19750184E-01
         2         25         20  -7.39416096E-01   6.46690043E-01  -8.54169270E-02   3.42236534E-01
         2         26         20  -8.55192623E-01   8.79216182E-01  -9.57533953E-02   4.56922366E-01
         2         27         20  -2.42074260E-01   4.43423761E-01  -7.24418760E-03   1.58178680E-01
         2         28         20  -5.95850391E-01  -1.89138018E-01  -3.83499256E-01   1.02039161E-01
         2         29         20  -1.13474250E+00   1.05879907E+00   6.63836623E-02   4.81973571E-01
         2         30         20  -7.37550785E-01  -1.50528736E-01  -4.56384814E-01   1.35270296E-01
         2         31         20  -6.82998151E-01   3.04630841E-01  -2.02630591E-01   2.61768084E-01
         2         32         20  -6.77262442E-01   2.41980491E-01  -2.28849431E-01   2.42427149E-01
         2         33         20  -1.14479280E+00   4.71610288E-01  -2.81958283E-01   3.72404779E-01
         2         34         20  -6.83488147E-01   2.60705350E-02  -2.88901122E-01   1.99982907E-01
         2         35         20  -8.35043121E-01   7.36675980E-01   3.97408250E-02   3.85946033E-01
         2         36         20  -4.69903155E-01   5.84306863E-01   7.99535236E-02   3.25372906E-01
         2         37         20  -9.96712635E-01   4.64035772E-01  -1.05430171E-01   3.53922582E-01
         2         38         20  -8.65253593E-01   1.12760196E-01  -3.98530531E-01   2.31040416E-01
         2         39         20  -5.94613325E-01   2.33678300E-01  -1.90403800E-01   2.28367010E-01
         2         40         20  -1.52157105E+00   8.38411680E-01  -2.99067563E-01   7.03751640E-01
         2         41         20  -1.01116227E+00   1.61886731E-01  -4.23556579E-01   3.07792690E-01
         2         42         20  -1.35263661E+00   9.78047654E-01  -1.56598336E-01   7.18803904E-01
         2         43         20  -9.70356075E-01   2.46474570E-01  -3.78388140E-01   2.82959610E-01
         2         44         20  -2.97845550E-01   6.44566276E-01   1.61387672E-01   2.24679209E-01
         2         45         20   3.44258148E-02   3.47277627E+00   1.89599841E+00   9.85110746E-01
