################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0559216962408819E-01 a         1     0     1     1     1
  3.3348595329988678E-01 a         2     0     1     1     2
 -4.1063376713235888E-01 a         3     0     1     1     3
 -4.5833722689170253E-01 a         4     0     1     1     4
 -1.1280483421220956E-01 a         5     0     1     1     5
  1.9638859361952178E-02 a         6     0     1     1     6
 -2.2512435772231792E-01 a         7     0     1     1     7
 -3.0537835039432903E-01 a         8     0     1     1     8
  3.1443013009801091E-01 a         9     0     1     1     9
  6.7454329620659753E-02 a        10     0     1     1    10
  1.9048159182732211E-01 a        11     0     1     1    11
 -3.0431434897311560E-01 a        12     0     1     1    12
  3.7893301803206547E-01 a        13     0     1     1    13
  2.4966049245699740E-01 a        14     0     1     1    14
  5.1821132388331331E-02 a        15     0     1     1    15
 -1.8888984240913320E-01 a        16     0     2     1     1
  5.2874063628666090E-01 a        17     0     2     1     2
  2.9520594484272056E-01 a        18     0     2     1     3
 -4.7295734971533604E-01 a        19     0     2     1     4
 -5.4459876145100938E-01 a        20     0     2     1     5
  3.0593033158091261E-02 a        21     0     2     1     6
 -3.5492376638479028E-01 a        22     0     2     1     7
  3.8992128668111592E-01 a        23     0     2     1     8
 -1.3053345734897026E-01 a        24     0     2     1     9
 -8.8963782049767320E-02 a        25     0     2     1    10
 -4.8949399066848788E-02 a        26     0     2     1    11
 -6.0770313744515705E-02 a        27     0     2     1    12
 -3.0782181518845930E-01 a        28     0     2     1    13
  4.1827400918359026E-01 a        29     0     2     1    14
 -2.7825452570620118E-01 a        30     0     2     1    15
 -5.9857633524495524E-02 a        31     0     3     1     1
  2.1662949213034458E-01 a        32     0     3     1     2
 -4.0503093334477092E-01 a        33     0     3     1     3
  3.4678687307035894E-01 a        34     0     3     1     4
 -3.7083331704167277E-01 a        35     0     3     1     5
 -1.6794615379308173E-01 a        36     0     3     1     6
  1.0915364801435602E-01 a        37     0     3     1     7
 -2.7047019908378593E-02 a        38     0     3     1     8
  3.1686552927844662E-02 a        39     0     3     1     9
  1.8519043952311406E-01 a        40     0     3     1    10
 -4.7143051488299664E-01 a        41     0     3     1    11
 -3.7552852219077798E-01 a        42     0     3     1    12
