################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1643916355347398E-01 a         1     0     1     1     1
  2.9836862342783560E-01 a         2     0     1     1     2
 -9.1659601240363875E-02 a         3     0     1     1     3
 -2.9904276797684542E-01 a         4     0     1     1     4
  4.0165199535489610E-02 a         5     0     1     1     5
 -2.2350453565668862E-01 a         6     0     1     1     6
  2.6768610917223878E-01 a         7     0     1     1     7
  1.3990909864099832E-01 a         8     0     1     1     8
 -2.1474306564122442E-01 a         9     0     1     1     9
  1.8405088716174817E-01 a        10     0     1     1    10
  2.9224823270468325E-01 a        11     0     1     1    11
  4.2247984729063152E-02 a        12     0     1     1    12
 -3.9935343424524439E-01 a        13     0     1     1    13
 -9.9028461012212340E-02 a        14     0     1     1    14
  2.1446979977180106E-02 a        15     0     1     1    15
  2.8847210227323306E-01 a        16     0     2     1     1
 -1.7408521752864944E-01 a        17     0     2     1     2
 -4.3345326385231736E-01 a        18     0     2     1     3
 -4.6738163329816945E-01 a        19     0     2     1     4
  3.7454951455900576E-01 a        20     0     2     1     5
 -3.1026803407177495E-01 a        21     0     2     1     6
 -4.6100794294061131E-01 a        22     0     2     1     7
 -1.8705102717709063E-01 a        23     0     2     1     8
  3.8949284598278600E-01 a        24     0     2     1     9
 -8.5243159712337091E-02 a        25     0     2     1    10
  1.0790691834675809E-02 a        26     0     2     1    11
 -3.6620924050048703E-01 a        27     0     2     1    12
 -1.6457767678291602E-01 a        28     0     2     1    13
 -1.0571119973203809E-01 a        29     0     2     1    14
  2.2504564610269026E-01 a        30     0     2     1    15
  2.2843377801441531E-01 a        31     0     3     1     1
  1.8237331526700676E-01 a        32     0     3     1     2
 -1.7203050194532526E-01 a        33     0     3     1     3
  1.3406124327265531E-01 a        34     0     3     1     4
  3.0050080387037764E-01 a        35     0     3     1     5
  3.3471957940996902E-02 a        36     0     3     1     6
  3.1038925454542698E-01 a        37     0     3     1     7
  3.7095506036130088E-01 a        38     0     3     1     8
 -3.6513195674646803E-01 a        39     0     3     1     9
  4.0736951915405584E-01 a        40     0     3     1    10
  3.1469952551883140E-01 a        41     0     3     1    11
 -6.8564335579285166E-02 a        42     0     3     1    12
 -3.1802518435672172E-01 a        43     0     3     1    13
 -2.7430610738769018E-01 a        44     0     3     1    14
 -4.0617110963037190E-01 a        45     0     3     1    15
 -3.1263117863438228E-01 a        46     0     4     1     1
  1.1013458676220361E-02 a        47     0     4     1     2
  3.5443725658682895E-02 a        48     0     4     1     3
  2.0105894267395324E-01 a        49     0     4     1     4
  1.5062512070107503E-01 a        50     0     4     1     5
  3.6226022134744850E-03 a        51     0     4     1     6
  8.1836444031130634E-02 a        52     0     4     1     7
  3.2117754609465682E-01 a        53     0     4     1     8
 -1.0463081597709234E-01 a        54     0     4     1     9
 -4.0547599396776790E-01 a        55     0     4     1    10
  4.4074705787919499E-01 a        56     0     4     1    11
 -3.6123924421629977E-01 a        57     0     4     1    12
 -5.3331519243087853E-03 a        58     0     4     1    13
  3.5808151203321553E-01 a        59     0     4     1    14
  3.3434072165623541E-01 a        60     0     4     1    15
  1.8171885398892407E-01 a        61     0     5     1     1
 -2.8947549965374142E-01 a        62     0     5     1     2
 -3.0464992395202506E-01 a        63     0     5     1     3
  2.6181261054761040E-01 a        64     0     5     1     4
  4.0444363647518183E-01 a        65     0     5     1     5
  3.7368282364639005E-01 a        66     0     5     1     6
  3.5350048278439405E-01 a        67     0     5     1     7
  1.7285634488522540E-02 a        68     0     5     1     8
 -3.8299512543156389E-01 a        69     0     5     1     9
 -1.3111976106974504E-01 a        70     0     5     1    10
 -3.3561895806351755E-01 a        71     0     5     1    11
 -4.1575971782928783E-01 a        72     0     5     1    12
  2.1672662445526855E-01 a        73     0     5     1    13
  3.0446763140674848E-01 a        74     0     5     1    14
 -2.6174642720837055E-01 a        75     0     5     1    15
  2.0902336657629234E-01 a        76     0     6     1     1
 -3.2158622230810613E-01 a        77     0     6     1     2
  3.8109304840122016E-01 a        78     0     6     1     3
 -1.1115877814878650E-01 a        79     0     6     1     4
  2.0604611959553876E-01 a        80     0     6     1     5
  2.2428264494470884E-01 a        81     0     6     1     6
 -3.4578794924942474E-01 a        82     0     6     1     7
 -7.6454759482754042E-02 a        83     0     6     1     8
 -7.1438779695078267E-02 a        84     0     6     1     9
  3.3804490530852693E-01 a        85     0     6     1    10
  2.4490207918683685E-01 a        86     0     6     1    11
 -1.6198987550039534E-01 a        87     0     6     1    12
  5.6340719259400644E-02 a        88     0     6     1    13
  1.3409574613516048E-01 a        89     0     6     1    14
 -1.3713914948330744E-01 a        90     0     6     1    15
  2.8103123651778410E-02 a        91     0     7     1     1
  1.2401583362828536E-01 a        92     0     7     1     2
 -3.7204483327250869E-02 a        93     0     7     1     3
 -2.9907200069664297E-01 a        94     0     7     1     4
  1.5586553034470935E-01 a        95     0     7     1     5
 -1.9076182331489780E-01 a        96     0     7     1     6
  1.2882511814100087E-01 a        97     0     7     1     7
  4.5492123436372572E-01 a        98     0     7     1     8
 -3.2735319586941469E-01 a        99     0     7     1     9
  8.3662916252111585E-02 a       100     0     7     1    10
 -2.9625200946082192E-01 a       101     0     7     1    11
 -3.0721533706477966E-01 a       102     0     7     1    12
  1.1537069973600866E-01 a       103     0     7     1    13
  1.2908299826351149E-02 a       104     0     7     1    14
 -5.7421967099686355E-01 a       105     0     7     1    15
  4.9517374264196656E-01 a       106     0     8     1     1
 -1.2968176750955884E-01 a       107     0     8     1     2
 -1.4769503792032090E-01 a       108     0     8     1     3
 -3.3256335267314419E-01 a       109     0     8     1     4
 -6.4214145467956685E-01 a       110     0     8     1     5
  4.2560107752000220E-01 a       111     0     8     1     6
 -4.8323677202860259E-02 a       112     0     8     1     7
 -1.2549788437038939E-01 a       113     0     8     1     8
  3.8456103752109633E-01 a       114     0     8     1     9
  6.2182905998414764E-02 a       115     0     8     1    10
  2.9561304335602073E-01 a       116     0     8     1    11
 -4.2085597117381957E-01 a       117     0     8     1    12
 -1.8704029439169575E-01 a       118     0     8     1    13
  2.8576872866503195E-02 a       119     0     8     1    14
 -6.0470833385439160E-01 a       120     0     8     1    15
  6.5402665035880270E-02 a       121     0     9     1     1
 -4.4093366708621251E-01 a       122     0     9     1     2
 -2.1885350465117287E-01 a       123     0     9     1     3
  5.0428362713347927E-02 a       124     0     9     1     4
 -4.9819366288303268E-01 a       125     0     9     1     5
 -2.6859885466926697E-01 a       126     0     9     1     6
  3.4710068482096477E-02 a       127     0     9     1     7
 -2.4377640520127523E-02 a       128     0     9     1     8
  1.8519450362231155E-01 a       129     0     9     1     9
  1.8630777825276046E-01 a       130     0     9     1    10
  1.1711440723905417E-01 a       131     0     9     1    11
  3.5278788096611768E-01 a       132     0     9     1    12
  4.0067016030564018E-01 a       133     0     9     1    13
 -5.8722736779899787E-01 a       134     0     9     1    14
 -8.2591163975957638E-01 a       135     0     9     1    15
  3.1361131933519770E-01 a       136     0    10     1     1
 -2.1191093559230970E-01 a       137     0    10     1     2
  3.4113488671058412E-01 a       138     0    10     1     3
 -4.3006445029564988E-01 a       139     0    10     1     4
  3.3584066716579346E-05 a       140     0    10     1     5
 -5.4188751329737284E-01 a       141     0    10     1     6
 -2.6558526024940160E-01 a       142     0    10     1     7
  2.2859175485777330E-01 a       143     0    10     1     8
 -8.7156756972783703E-02 a       144     0    10     1     9
 -2.3083971856524949E-01 a       145     0    10     1    10
  4.5971173064956722E-01 a       146     0    10     1    11
  2.8876780948497460E-01 a       147     0    10     1    12
  1.5495144907609815E-01 a       148     0    10     1    13
  1.6684286380289140E-01 a       149     0    10     1    14
 -2.6976809774848265E-01 a       150     0    10     1    15
  1.8781332300574055E-01 a       151     0    11     1     1
  9.6755068632240048E-03 a       152     0    11     1     2
 -1.7135734608543504E-01 a       153     0    11     1     3
 -3.9007649384647669E-01 a       154     0    11     1     4
  4.1669908480242984E-01 a       155     0    11     1     5
 -5.5806321372118044E-02 a       156     0    11     1     6
  3.3555668975488739E-01 a       157     0    11     1     7
 -8.9253279709414352E-02 a       158     0    11     1     8
  2.4238343767147305E-01 a       159     0    11     1     9
  8.5725709144626891E-02 a       160     0    11     1    10
  2.1390689965455759E-01 a       161     0    11     1    11
 -1.2862005582245972E-01 a       162     0    11     1    12
  4.8755985955484177E-01 a       163     0    11     1    13
  3.0059341984208632E-01 a       164     0    11     1    14
  6.9446486277833536E-02 a       165     0    11     1    15
  6.9861889928261911E-01 a       166     0    12     1     1
  4.6416160240030757E-01 a       167     0    12     1     2
 -2.5319719553557746E-01 a       168     0    12     1     3
  5.6389105496441172E-01 a       169     0    12     1     4
  2.5538296515482178E-01 a       170     0    12     1     5
  2.9994770663404158E-01 a       171     0    12     1     6
 -3.7582086357109473E-01 a       172     0    12     1     7
  1.3546956463011789E-01 a       173     0    12     1     8
  4.0582008348150241E-02 a       174     0    12     1     9
 -2.4605451614568855E-01 a       175     0    12     1    10
  5.4130513979972990E-02 a       176     0    12     1    11
 -3.5196689794440567E-01 a       177     0    12     1    12
  7.0448863782476931E-02 a       178     0    12     1    13
 -4.1913043418161611E-01 a       179     0    12     1    14
  2.3216609217954262E-01 a       180     0    12     1    15
  4.4377815954363115E-01 a       181     0    13     1     1
 -6.7575508300859843E-02 a       182     0    13     1     2
 -1.3984868633142791E-01 a       183     0    13     1     3
 -3.7443978266503010E-02 a       184     0    13     1     4
  4.4836994310878237E-01 a       185     0    13     1     5
  2.9911581933900033E-01 a       186     0    13     1     6
 -1.0319482890759860E-02 a       187     0    13     1     7
 -5.5075768997566865E-01 a       188     0    13     1     8
 -1.4616935934311567E-01 a       189     0    13     1     9
  3.1314919352937826E-01 a       190     0    13     1    10
 -3.5424403272559621E-02 a       191     0    13     1    11
  3.1595002035337388E-01 a       192     0    13     1    12
  4.8578334492635183E-01 a       193     0    13     1    13
  1.6214545873940589E-01 a       194     0    13     1    14
 -4.5491574436649355E-02 a       195     0    13     1    15
  4.6529979842769709E-01 a       196     0    14     1     1
 -2.3387594032431169E-01 a       197     0    14     1     2
 -3.4597164918148779E-02 a       198     0    14     1     3
  1.9544769074370399E-01 a       199     0    14     1     4
 -3.6979292506826955E-01 a       200     0    14     1     5
 -1.9664729191843275E-01 a       201     0    14     1     6
 -2.6255467949012085E-01 a       202     0    14     1     7
  2.5637040419548777E-02 a       203     0    14     1     8
 -5.5228458938117697E-01 a       204     0    14     1     9
 -1.1302882622568104E-01 a       205     0    14     1    10
  3.5762339738437227E-01 a       206     0    14     1    11
  3.3977566208609111E-01 a       207     0    14     1    12
 -3.7961514533124341E-01 a       208     0    14     1    13
 -3.4806892482430810E-02 a       209     0    14     1    14
  1.7627976893928701E-01 a       210     0    14     1    15
  7.6882876520290938E-02 b       211     1     1
 -1.3038059923032197E-01 b       212     1     2
 -8.8950259827459965E-02 b       213     1     3
 -1.5474092626080688E-01 b       214     1     4
 -1.7843627216747909E-01 b       215     1     5
 -2.5833040340131885E-01 b       216     1     6
 -3.1995749356130136E-02 b       217     1     7
  1.1829702049848408E-01 b       218     1     8
  5.1970317503135785E-02 b       219     1     9
 -1.4889892545942254E-01 b       220     1    10
 -8.5097730287529191E-02 b       221     1    11
 -9.1683290162715231E-02 b       222     1    12
 -4.3363963056735604E-03 b       223     1    13
 -3.8315440964197905E-01 b       224     1    14
  5.9051931992549357E-02 b       225     1    15
 -3.4127916231345506E-01 a       226     1     1     2     1
  4.3093464105052270E-02 a       227     1     1     2     2
 -7.1234280131710686E-03 a       228     1     1     2     3
 -4.8312091859535533E-01 a       229     1     1     2     4
  1.8313615552875070E-02 a       230     1     1     2     5
 -2.0478895290183891E-01 a       231     1     1     2     6
 -1.3722475773842729E-01 a       232     1     1     2     7
 -1.2895077748778880E-01 a       233     1     1     2     8
 -6.3427500500931477E-01 a       234     1     1     2     9
 -3.5094857946191155E-01 a       235     1     1     2    10
  2.7803321813109261E-01 a       236     1     1     2    11
 -2.4944468389969532E-01 a       237     1     1     2    12
  4.9736250997580833E-02 a       238     1     1     2    13
  6.1401201120657201E-01 a       239     1     1     2    14
  2.0370281221383602E-01 a       240     1     1     2    15
  6.9372444824472315E-02 a       241     1     2     2     1
 -1.9692753196689389E-01 a       242     1     2     2     2
  2.7920493088472603E-01 a       243     1     2     2     3
  1.6640636776410966E-01 a       244     1     2     2     4
 -4.7317263282464289E-01 a       245     1     2     2     5
 -1.5462999572453529E-01 a       246     1     2     2     6
 -5.4902732846418278E-03 a       247     1     2     2     7
  4.2149458246386251E-01 a       248     1     2     2     8
  1.7906132692102103E-01 a       249     1     2     2     9
 -1.9415638111054837E-01 a       250     1     2     2    10
  2.3913828217813410E-01 a       251     1     2     2    11
  3.0201241770041759E-01 a       252     1     2     2    12
  5.1546634796487641E-02 a       253     1     2     2    13
 -1.7346450170656363E-01 a       254     1     2     2    14
 -2.6861242274563674E-01 a       255     1     2     2    15
  2.9277138166166788E-01 a       256     1     3     2     1
 -2.0417264937750260E-02 a       257     1     3     2     2
  8.1384242653754935E-02 a       258     1     3     2     3
 -3.9854027372193873E-01 a       259     1     3     2     4
  2.8050406002691819E-01 a       260     1     3     2     5
 -3.5922892722912070E-01 a       261     1     3     2     6
  1.4576959381015625E-01 a       262     1     3     2     7
 -2.0241550871748651E-01 a       263     1     3     2     8
  3.4411384418023322E-01 a       264     1     3     2     9
 -1.4093691123149588E-01 a       265     1     3     2    10
 -4.1946245093332174E-01 a       266     1     3     2    11
  2.8784629099690730E-02 a       267     1     3     2    12
  5.8637950331296852E-02 a       268     1     3     2    13
  1.5358715905632267E-01 a       269     1     3     2    14
 -6.3408704483970332E-02 a       270     1     3     2    15
 -3.1495460401095854E-01 a       271     1     4     2     1
  3.8813203428608606E-01 a       272     1     4     2     2
 -9.2583151516156034E-03 a       273     1     4     2     3
 -2.7718450001703454E-01 a       274     1     4     2     4
  1.5390112675172948E-01 a       275     1     4     2     5
 -4.5284898492619313E-01 a       276     1     4     2     6
  1.2240391461565392E-01 a       277     1     4     2     7
  4.8337616697946278E-01 a       278     1     4     2     8
 -3.1238122159990524E-02 a       279     1     4     2     9
  1.9641769530122596E-01 a       280     1     4     2    10
 -1.4944960218174941E-01 a       281     1     4     2    11
  2.3628453795970769E-01 a       282     1     4     2    12
  5.4687215242847209E-01 a       283     1     4     2    13
  4.2633125248462095E-01 a       284     1     4     2    14
 -3.3991657175622059E-01 a       285     1     4     2    15
  8.5754992966552646E-02 a       286     1     5     2     1
  5.9795936252676832E-02 a       287     1     5     2     2
  3.2186189655507047E-01 a       288     1     5     2     3
  9.9435083979467681E-02 a       289     1     5     2     4
 -6.2697375901078067E-01 a       290     1     5     2     5
  1.6370957552207183E-01 a       291     1     5     2     6
  1.8823676276469411E-02 a       292     1     5     2     7
  6.8085719880870255E-02 a       293     1     5     2     8
  3.9104960975105585E-01 a       294     1     5     2     9
  2.4220786337116892E-01 a       295     1     5     2    10
  1.6054133330795187E-01 a       296     1     5     2    11
 -3.8903686949779637E-02 a       297     1     5     2    12
 -2.3540594173098023E-01 a       298     1     5     2    13
 -2.7849384227255747E-01 a       299     1     5     2    14
  1.6570612573941818E-01 a       300     1     5     2    15
  4.6401478622142839E-01 a       301     1     6     2     1
 -1.3982815638769840E-02 a       302     1     6     2     2
 -1.4739155269725793E-01 a       303     1     6     2     3
  5.1143924632142412E-01 a       304     1     6     2     4
  2.6340388427362260E-01 a       305     1     6     2     5
  4.0575200503630032E-01 a       306     1     6     2     6
  4.9573011192423230E-02 a       307     1     6     2     7
 -1.0986553759474074E-01 a       308     1     6     2     8
  4.1783913657439353E-01 a       309     1     6     2     9
 -5.5740769693801144E-02 a       310     1     6     2    10
  1.4912944498910369E-01 a       311     1     6     2    11
 -2.4021200119458305E-01 a       312     1     6     2    12
  1.2461978827384677E-01 a       313     1     6     2    13
  2.2475763422701642E-01 a       314     1     6     2    14
 -3.3845831600946685E-01 a       315     1     6     2    15
 -1.2283611346975143E-01 a       316     1     7     2     1
  1.7644194404383085E-01 a       317     1     7     2     2
  3.5522266916488826E-01 a       318     1     7     2     3
  3.3964981822000667E-01 a       319     1     7     2     4
  1.9451448646792102E-01 a       320     1     7     2     5
 -4.6380661556714037E-01 a       321     1     7     2     6
  9.4442088171333358E-02 a       322     1     7     2     7
  2.2022404967553998E-02 a       323     1     7     2     8
  2.1105281963970068E-01 a       324     1     7     2     9
 -4.0752123744138724E-01 a       325     1     7     2    10
  1.6333432768061049E-01 a       326     1     7     2    11
 -3.1299022624587669E-01 a       327     1     7     2    12
  4.9772073561500541E-01 a       328     1     7     2    13
  1.9231576089483124E-01 a       329     1     7     2    14
  4.9765891250712974E-01 a       330     1     7     2    15
 -4.9843349348732580E-01 a       331     1     8     2     1
 -4.0532199268256136E-01 a       332     1     8     2     2
  1.4915822533216913E-01 a       333     1     8     2     3
 -2.0585504520755707E-01 a       334     1     8     2     4
 -2.2501271025277084E-01 a       335     1     8     2     5
 -2.4937234109651130E-01 a       336     1     8     2     6
 -2.7828407258857357E-01 a       337     1     8     2     7
 -1.9076800073047520E-01 a       338     1     8     2     8
 -2.3994336009578682E-01 a       339     1     8     2     9
