################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         7          0   0.00000000E+00   0.00000000E+00
         7          0  -1.67473506E+00  -1.66568946E+00
         7          0  -6.54810352E-01  -6.64357972E-01
         7          1   0.00000000E+00   0.00000000E+00
         7          1  -1.38079400E-01  -1.36473755E-01
         7          1  -2.00807321E-01  -1.92725290E-01
         7          2   0.00000000E+00   0.00000000E+00
         7          2   1.81281446E+00   1.80216321E+00
         7          2   8.55617640E-01   8.57083262E-01
