################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1381195948983414E-01 a         1     0     1     1     1
  2.9642601181496919E-01 a         2     0     1     1     2
 -9.0710971352967504E-02 a         3     0     1     1     3
 -2.9973909016338551E-01 a         4     0     1     1     4
  4.0319699809173895E-02 a         5     0     1     1     5
 -2.2046850840293949E-01 a         6     0     1     1     6
  2.6862155366479118E-01 a         7     0     1     1     7
  1.4045705701738614E-01 a         8     0     1     1     8
 -2.1474266077526522E-01 a         9     0     1     1     9
  1.8348551902628588E-01 a        10     0     1     1    10
  2.9133704905672925E-01 a        11     0     1     1    11
  4.0335691932637266E-02 a        12     0     1     1    12
 -3.9903369772780189E-01 a        13     0     1     1    13
 -9.9579620152951812E-02 a        14     0     1     1    14
  2.3470068669302509E-02 a        15     0     1     1    15
  2.9111981492702771E-01 a        16     0     2     1     1
 -1.7597439938026999E-01 a        17     0     2     1     2
 -4.3252966411030541E-01 a        18     0     2     1     3
 -4.6797045489232381E-01 a        19     0     2     1     4
  3.7477378497118063E-01 a        20     0     2     1     5
 -3.0708986623779405E-01 a        21     0     2     1     6
 -4.5999013089053942E-01 a        22     0     2     1     7
 -1.8664068341839099E-01 a        23     0     2     1     8
  3.8950935581787338E-01 a        24     0     2     1     9
 -8.5822618240793305E-02 a        25     0     2     1    10
  9.8023836100657093E-03 a        26     0     2     1    11
 -3.6809468409776203E-01 a        27     0     2     1    12
 -1.6426902646531935E-01 a        28     0     2     1    13
 -1.0620307914649969E-01 a        29     0     2     1    14
  2.2740461644584467E-01 a        30     0     2     1    15
  2.3100748579359853E-01 a        31     0     3     1     1
  1.8054216505902526E-01 a        32     0     3     1     2
 -1.7111374332157298E-01 a        33     0     3     1     3
  1.3351981906630747E-01 a        34     0     3     1     4
