################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5236467825810899E-01 a         1     0     1     1     1
 -3.0405813473073373E-01 a         2     0     1     1     2
  2.0842759224837348E-01 a         3     0     1     1     3
 -5.8241293463230225E-02 a         4     0     1     1     4
  4.8945329059488429E-03 a         5     0     1     1     5
  1.4307207135975400E-01 a         6     0     1     1     6
 -1.0390595447088852E-01 a         7     0     1     1     7
 -1.2522747520699634E-01 a         8     0     1     1     8
 -1.8766175006677649E-01 a         9     0     1     1     9
  1.7998329769477267E-01 a        10     0     1     1    10
 -1.6786473885700573E-01 a        11     0     2     1     1
  2.7287552132827675E-01 a        12     0     2     1     2
 -7.3814907037499031E-02 a        13     0     2     1     3
  2.9287095132931162E-01 a        14     0     2     1     4
  4.3269381301919360E-02 a        15     0     2     1     5
  1.5445750487438892E-01 a        16     0     2     1     6
 -8.1744915022451917E-02 a        17     0     2     1     7
  2.0856162562437963E-01 a        18     0     2     1     8
 -1.4907904221064527E-01 a        19     0     2     1     9
 -2.3054736093376504E-01 a        20     0     2     1    10
  2.2457757184732494E-03 a        21     0     3     1     1
 -3.6478139858686309E-02 a        22     0     3     1     2
 -1.2643788647937495E-02 a        23     0     3     1     3
 -3.7608094514018031E-02 a        24     0     3     1     4
  2.9392041760008120E-01 a        25     0     3     1     5
 -1.2413377807379505E-01 a        26     0     3     1     6
  8.1695044666111633E-02 a        27     0     3     1     7
 -1.5753396195677774E-01 a        28     0     3     1     8
  2.5759686478246141E-01 a        29     0     3     1     9
 -2.0721628510137760E-01 a        30     0     3     1    10
 -3.1048266419733184E-01 a        31     0     4     1     1
  1.2938118922957453E-01 a        32     0     4     1     2
 -2.4357148836729323E-01 a        33     0     4     1     3
 -2.4843094104841052E-02 a        34     0     4     1     4
 -7.3542613053586725E-02 a        35     0     4     1     5
 -2.2512630887229471E-01 a        36     0     4     1     6
  5.3539428741502769E-02 a        37     0     4     1     7
 -3.6360552416343311E-02 a        38     0     4     1     8
 -1.6438764512164493E-02 a        39     0     4     1     9
  2.2219838542387738E-01 a        40     0     4     1    10
  4.9866194578540093E-02 a        41     0     5     1     1
 -6.0993265388584982E-02 a        42     0     5     1     2
