################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8261824126477413E-01 a         1     0     1     1     1
  1.5490603801264974E-01 a         2     0     1     1     2
 -3.2512228570397117E-01 a         3     0     1     1     3
 -1.9286634216496606E-01 a         4     0     1     1     4
 -7.3980481938558426E-02 a         5     0     1     1     5
 -1.4758292605966916E-01 a         6     0     1     1     6
 -2.8974735811748120E-01 a         7     0     1     1     7
  1.3855743748957958E-01 a         8     0     1     1     8
  1.7710980856055974E-01 a         9     0     1     1     9
 -2.5638672186461911E-03 a        10     0     1     1    10
 -2.0307256519180545E-02 a        11     0     2     1     1
 -3.1727952777958335E-01 a        12     0     2     1     2
  2.7114989708659315E-01 a        13     0     2     1     3
  1.8148993528918292E-01 a        14     0     2     1     4
  5.5088555210586361E-04 a        15     0     2     1     5
  1.6864659716846666E-02 a        16     0     2     1     6
  4.4221496996214388E-02 a        17     0     2     1     7
  4.6195362753252589E-02 a        18     0     2     1     8
 -5.3973939330142523E-02 a        19     0     2     1     9
  1.8813370273023050E-01 a        20     0     2     1    10
  1.9369084266879788E-01 a        21     0     3     1     1
 -2.9543030094227908E-02 a        22     0     3     1     2
 -7.2185370368426829E-02 a        23     0     3     1     3
 -8.6787706398433362E-02 a        24     0     3     1     4
  8.0344509282528384E-02 a        25     0     3     1     5
 -1.7457294844003618E-01 a        26     0     3     1     6
  9.9813055981378563E-03 a        27     0     3     1     7
 -2.4580427220619719E-01 a        28     0     3     1     8
  1.4805272437564687E-01 a        29     0     3     1     9
  2.7132937948511759E-01 a        30     0     3     1    10
 -9.8104858570287716E-03 a        31     0     4     1     1
  3.7838636883883718E-02 a        32     0     4     1     2
  1.6457405465063599E-01 a        33     0     4     1     3
  1.6103981102028439E-01 a        34     0     4     1     4
  7.7033312266753917E-02 a        35     0     4     1     5
 -5.4874314626948391E-03 a        36     0     4     1     6
  2.6010496089948154E-01 a        37     0     4     1     7
 -2.5613390479905240E-01 a        38     0     4     1     8
  1.1861741291688782E-01 a        39     0     4     1     9
  1.1521932710341941E-01 a        40     0     4     1    10
  1.0361642430452724E-01 a        41     0     5     1     1
  1.2655203735519477E-01 a        42     0     5     1     2
 -3.8158729179933105E-02 a        43     0     5     1     3
  1.7217311532694982E-01 a        44     0     5     1     4
  2.0681292122547851E-01 a        45     0     5     1     5
  2.1806678683995787E-01 a        46     0     5     1     6
  2.0453234285563326E-01 a        47     0     5     1     7
  1.8544375173634434E-01 a        48     0     5     1     8
  1.7068865631271496E-01 a        49     0     5     1     9
 -2.1173093919547581E-01 a        50     0     5     1    10
  4.2230704441107625E-01 a        51     0     6     1     1
 -1.5477258964791873E-01 a        52     0     6     1     2
 -5.3334842501588618E-02 a        53     0     6     1     3
  3.2317781901261899E-01 a        54     0     6     1     4
 -1.5885746809822399E-01 a        55     0     6     1     5
 -2.3080627521535779E-01 a        56     0     6     1     6
  1.3762660188562012E-01 a        57     0     6     1     7
  3.3025621710894804E-01 a        58     0     6     1     8
 -1.3190293137182544E-02 a        59     0     6     1     9
  4.5133758069632816E-02 a        60     0     6     1    10
 -1.9117509522852399E-01 a        61     0     7     1     1
 -1.4417348833529162E-01 a        62     0     7     1     2
 -2.1565224872020669E-01 a        63     0     7     1     3
 -1.6436040481854616E-01 a        64     0     7     1     4
 -2.0334354029374233E-01 a        65     0     7     1     5
 -2.1842745798795987E-01 a        66     0     7     1     6
 -9.0048730597983684E-02 a        67     0     7     1     7
  2.0211648537174604E-01 a        68     0     7     1     8
 -1.0345532659780904E-01 a        69     0     7     1     9
  3.0963791115460587E-01 a        70     0     7     1    10
  6.4003764161197629E-01 a        71     0     8     1     1
  2.2798075920147337E-01 a        72     0     8     1     2
 -1.3149703020296280E-01 a        73     0     8     1     3
 -8.3060097992134665E-02 a        74     0     8     1     4
 -3.7287678800414980E-03 a        75     0     8     1     5
 -4.1284610438885934E-02 a        76     0     8     1     6
  4.0548966890991640E-02 a        77     0     8     1     7
 -3.0853884499546957E-01 a        78     0     8     1     8
 -3.1607236414575890E-01 a        79     0     8     1     9
 -3.9400306259620085E-02 a        80     0     8     1    10
  4.2254631502482304E-01 a        81     0     9     1     1
  2.8845317042116614E-01 a        82     0     9     1     2
 -2.8419051067974138E-01 a        83     0     9     1     3
 -1.9878075868783037E-02 a        84     0     9     1     4
 -1.8178116740679084E-01 a        85     0     9     1     5
 -8.7968818720637693E-02 a        86     0     9     1     6
 -9.5595312870619606E-02 a        87     0     9     1     7
 -2.2593794238047032E-01 a        88     0     9     1     8
 -2.7207094172158536E-01 a        89     0     9     1     9
  2.0475247641188749E-01 a        90     0     9     1    10
 -3.0083049100501334E-02 a        91     0    10     1     1
  2.7665359508866094E-01 a        92     0    10     1     2
 -7.9095092730486677E-02 a        93     0    10     1     3
  2.2004502046530047E-01 a        94     0    10     1     4
