################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8450174526287960E-01 a         1     0     1     1     1
  1.5498811096238255E-01 a         2     0     1     1     2
 -3.2360879289506977E-01 a         3     0     1     1     3
 -1.9247788697136209E-01 a         4     0     1     1     4
 -7.3236234393479607E-02 a         5     0     1     1     5
 -1.4736571583405061E-01 a         6     0     1     1     6
 -2.9157122913900368E-01 a         7     0     1     1     7
  1.3733667012017403E-01 a         8     0     1     1     8
  1.7805872049937699E-01 a         9     0     1     1     9
 -2.3978760005287287E-03 a        10     0     1     1    10
 -2.0630523304013163E-02 a        11     0     2     1     1
 -3.1787714085761215E-01 a        12     0     2     1     2
  2.7220615025980388E-01 a        13     0     2     1     3
  1.8196426846280297E-01 a        14     0     2     1     4
  1.1622410951291060E-03 a        15     0     2     1     5
  1.7438900091812971E-02 a        16     0     2     1     6
  4.4108829870434955E-02 a        17     0     2     1     7
  4.5427385107053887E-02 a        18     0     2     1     8
 -5.3491237578830279E-02 a        19     0     2     1     9
  1.8765207527179650E-01 a        20     0     2     1    10
  1.9565933725820514E-01 a        21     0     3     1     1
 -2.9364765982705193E-02 a        22     0     3     1     2
 -7.0695915755562791E-02 a        23     0     3     1     3
 -8.6370949649520357E-02 a        24     0     3     1     4
  8.1084000507821982E-02 a        25     0     3     1     5
 -1.7447429808200784E-01 a        26     0     3     1     6
  8.1851095973432993E-03 a        27     0     3     1     7
 -2.4693170800226258E-01 a        28     0     3     1     8
  1.4904073108948451E-01 a        29     0     3     1     9
  2.7167779176755130E-01 a        30     0     3     1    10
 -1.0971700830573609E-02 a        31     0     4     1     1
  3.7049610756856463E-02 a        32     0     4     1     2
  1.6534626572788302E-01 a        33     0     4     1     3
  1.6157396920011874E-01 a        34     0     4     1     4
  7.7542652093010506E-02 a        35     0     4     1     5
 -4.9040941789559606E-03 a        36     0     4     1     6
  2.6088109304708129E-01 a        37     0     4     1     7
 -2.5652788530832177E-01 a        38     0     4     1     8
  1.1888392213023515E-01 a        39     0     4     1     9
  1.1464031305320493E-01 a        40     0     4     1    10
  1.0583619374940559E-01 a        41     0     5     1     1
  1.2689970870757439E-01 a        42     0     5     1     2
 -3.6690551380120826E-02 a        43     0     5     1     3
  1.7266037851209862E-01 a        44     0     5     1     4
  2.0756931056918909E-01 a        45     0     5     1     5
  2.1791310130010114E-01 a        46     0     5     1     6
  2.0279691139251094E-01 a        47     0     5     1     7
  1.8457767605627995E-01 a        48     0     5     1     8
  1.7184242203425415E-01 a        49     0     5     1     9
 -2.1098854431010231E-01 a        50     0     5     1    10
  4.1891326354658337E-01 a        51     0     6     1     1
 -1.5589371097839463E-01 a        52     0     6     1     2
 -5.3175407683523787E-02 a        53     0     6     1     3
  3.2395433950184188E-01 a        54     0     6     1     4
 -1.5856613105417841E-01 a        55     0     6     1     5
 -2.3028970220177883E-01 a        56     0     6     1     6
  1.4049084492499170E-01 a        57     0     6     1     7
  3.3062378033727752E-01 a        58     0     6     1     8
 -1.3456076702503695E-02 a        59     0     6     1     9
  4.4507190224045000E-02 a        60     0     6     1    10
 -1.8839624841538552E-01 a        61     0     7     1     1
 -1.4379284233115583E-01 a        62     0     7     1     2
 -2.1407815746345193E-01 a        63     0     7     1     3
 -1.6377089311719953E-01 a        64     0     7     1     4
 -2.0246466171001198E-01 a        65     0     7     1     5
 -2.1883504665466000E-01 a        66     0     7     1     6
 -9.1691509217002906E-02 a        67     0     7     1     7
  2.0179529204088606E-01 a        68     0     7     1     8
