################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         8  -1.83417741E-01  -1.83416457E-01
        11  -1.83430652E-01  -1.83429396E-01
        25  -1.82405142E-01  -1.82408683E-01
        30  -1.83430122E-01  -1.83428818E-01
        33  -1.82833865E-01  -1.82835273E-01
        51  -1.76648090E-01  -1.76616876E-01
        70  -1.70148528E-01  -1.70098755E-01
        73  -1.71901435E-01  -1.71914525E-01
