################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
        47       3290   9.54708052E+01   2.88550842E-01   2.49897151E-17   1.30501756E-02   9.69916453E-07   1.03222383E+00
        48       3360   9.54201749E+01   2.89559849E-01   2.52478842E-17   6.81100922E-03   9.69916453E-07   1.03222383E+00
        49       3430   9.53452460E+01   2.91229095E-01   2.55436228E-17   5.33728893E-03   9.69916453E-07   1.03222383E+00
        50       3500   9.53331349E+01   2.91354650E-01   2.55959499E-17   3.92713655E-03   9.69916453E-07   1.03222383E+00
        51       3570   9.53298923E+01   2.91356627E-01   2.56096764E-17   2.85929833E-03   9.69916453E-07   1.03222383E+00
        52       3640   9.53128638E+01   2.91581743E-01   2.56767274E-17   1.01813284E-02   9.69916453E-07   1.03222383E+00
        53       3710   9.52962290E+01   2.91742842E-01   2.57495497E-17   8.75938092E-03   9.69916453E-07   1.03222383E+00
        54       3780   9.52606919E+01   2.92179187E-01   2.59016136E-17   1.28994160E-02   9.69916453E-07   1.03222383E+00
        55       3850   9.52017411E+01   2.92454877E-01   2.61495239E-17   7.67284460E-03   9.69916453E-07   1.03222383E+00
        56       3920   9.51622376E+01   2.93074406E-01   2.62871677E-17   6.67918570E-03   9.69916453E-07   1.03222383E+00
        57       3990   9.51577194E+01   2.93127602E-01   2.63031567E-17   3.70488381E-03   9.69916453E-07   1.03222383E+00
        58       4060   9.51356662E+01   2.93528241E-01   2.64097913E-17   4.21588452E-03   9.69916453E-07   1.03222383E+00
        59       4130   9.51068250E+01   2.94344415E-01   2.64963608E-17   6.01349353E-03   9.69916453E-07   1.03222383E+00
        60       4200   9.50750075E+01   2.94242605E-01   2.66119606E-17   1.17083481E-02   9.69916453E-07   1.03222383E+00
        61       4270   9.50277828E+01   2.94455359E-01   2.67802187E-17   8.14173546E-03   9.69916453E-07   1.03222383E+00
        62       4340   9.49853771E+01   2.94568695E-01   2.69507608E-17   1.23470522E-02   9.69916453E-07   1.03222383E+00
        63       4410   9.49662121E+01   2.94592055E-01   2.70267126E-17   7.07913750E-03   9.69916453E-07   1.03222383E+00
        64       4480   9.49435688E+01   2.94930576E-01   2.71128683E-17   6.67164709E-03   9.69916453E-07   1.03222383E+00
        65       4550   9.48383969E+01   2.96452039E-01   2.75530094E-17   1.41611272E-02   9.69916453E-07   1.03222383E+00
        66       4620   9.47522920E+01   2.97594000E-01   2.79224928E-17   1.22519307E-02   9.69916453E-07   1.03222383E+00
        67       4690   9.47245220E+01   2.98097266E-01   2.80498812E-17   1.10343330E-02   9.69916453E-07   1.03222383E+00
        68       4760   9.47004682E+01   2.98311662E-01   2.81577441E-17   7.34121632E-03   9.69916453E-07   1.03222383E+00
        69       4830   9.46856608E+01   2.98391939E-01   2.82187351E-17   1.09437618E-02   9.69916453E-07   1.03222383E+00
        70       4900   9.46522128E+01   2.98872690E-01   2.83691803E-17   5.59093930E-03   9.69916453E-07   1.03222383E+00
        71       4970   9.46078624E+01   2.99256752E-01   2.85006948E-17   5.78361630E-03   9.69916453E-07   1.03222383E+00
        72       5040   9.45654140E+01   2.99557448E-01   2.86568415E-17   7.19724428E-02   9.69916453E-07   1.03222383E+00
        73       5110   9.45499229E+01   2.99792406E-01   2.87276040E-17   4.60933100E-03   9.69916453E-07   1.03222383E+00
        74       5180   9.45440965E+01   2.99838816E-01   2.87557561E-17   4.48391803E-03   9.69916453E-07   1.03222383E+00
