################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5224296282659620E-01 a         1     0     1     1     1
 -3.0466806502381361E-01 a         2     0     1     1     2
  2.0925470685896100E-01 a         3     0     1     1     3
 -5.7686352514852046E-02 a         4     0     1     1     4
  3.9591364448619713E-03 a         5     0     1     1     5
  1.4233529482670465E-01 a         6     0     1     1     6
 -1.0466321907791279E-01 a         7     0     1     1     7
 -1.2402677414567441E-01 a         8     0     1     1     8
 -1.8737597752137192E-01 a         9     0     1     1     9
  1.7829608362472157E-01 a        10     0     1     1    10
 -1.6777732251412678E-01 a        11     0     2     1     1
  2.7176003261453285E-01 a        12     0     2     1     2
 -7.3908817316554770E-02 a        13     0     2     1     3
  2.9315353213233819E-01 a        14     0     2     1     4
  4.2986571571938310E-02 a        15     0     2     1     5
  1.5378350065207935E-01 a        16     0     2     1     6
 -8.2155157391361922E-02 a        17     0     2     1     7
  2.1024185351164268E-01 a        18     0     2     1     8
 -1.4870178462476560E-01 a        19     0     2     1     9
 -2.3290987728127679E-01 a        20     0     2     1    10
  2.0190584102686092E-03 a        21     0     3     1     1
 -3.6758830796789557E-02 a        22     0     3     1     2
 -1.1376333591685123E-02 a        23     0     3     1     3
 -3.6952943742603397E-02 a        24     0     3     1     4
  2.9269272408064279E-01 a        25     0     3     1     5
 -1.2485309529411194E-01 a        26     0     3     1     6
  8.0803994334844156E-02 a        27     0     3     1     7
 -1.5668520102208996E-01 a        28     0     3     1     8
  2.5781154058213313E-01 a        29     0     3     1     9
 -2.0842112451509467E-01 a        30     0     3     1    10
 -3.1040276538585515E-01 a        31     0     4     1     1
  1.2836162904777521E-01 a        32     0     4     1     2
 -2.4365732265679316E-01 a        33     0     4     1     3
 -2.4584814364891478E-02 a        34     0     4     1     4
 -7.3801102033493049E-02 a        35     0     4     1     5
 -2.2574235084471800E-01 a        36     0     4     1     6
  5.3164465930069744E-02 a        37     0     4     1     7
 -3.4824818859300492E-02 a        38     0     4     1     8
 -1.6093949895841932E-02 a        39     0     4     1     9
  2.2003903807496178E-01 a        40     0     4     1    10
  4.9365882906560410E-02 a        41     0     5     1     1
 -6.0450027642704678E-02 a        42     0     5     1     2
  2.7104681585503171E-01 a        43     0     5     1     3
 -3.2725967288500085E-01 a        44     0     5     1     4
 -2.1416060332766115E-01 a        45     0     5     1     5
  1.7261813165293308E-01 a        46     0     5     1     6
 -2.8332311750795941E-01 a        47     0     5     1     7
 -2.8779224409310206E-01 a        48     0     5     1     8
 -1.6600243089047650E-01 a        49     0     5     1     9
  2.3356549265626500E-01 a        50     0     5     1    10
 -2.5801932470669597E-01 a        51     0     6     1     1
  2.8910928545328102E-01 a        52     0     6     1     2
  1.5959895609301383E-01 a        53     0     6     1     3
 -1.6602250356674714E-01 a        54     0     6     1     4
  3.3702330454690221E-01 a        55     0     6     1     5
 -1.9486756680817657E-01 a        56     0     6     1     6
 -3.9388821568461220E-02 a        57     0     6     1     7
  1.6144301433064376E-01 a        58     0     6     1     8
  2.0788380327577222E-01 a        59     0     6     1     9
 -2.2613678999801909E-01 a        60     0     6     1    10
 -2.7455824003539281E-01 a        61     0     7     1     1
 -3.9093967526381411E-02 a        62     0     7     1     2
 -2.0190600592802285E-01 a        63     0     7     1     3
  9.0003451718344823E-03 a        64     0     7     1     4
  1.2869788428342122E-01 a        65     0     7     1     5
 -1.7653973144181678E-01 a        66     0     7     1     6
  1.7613712842360765E-01 a        67     0     7     1     7
 -1.5701476367401579E-01 a        68     0     7     1     8
  3.2839013304649983E-01 a        69     0     7     1     9
 -2.0659863933424047E-01 a        70     0     7     1    10
  1.7028126495770970E-01 a        71     0     8     1     1
  2.5281802444267165E-01 a        72     0     8     1     2
  1.0403717112532568E-01 a        73     0     8     1     3
  3.1418978334515241E-01 a        74     0     8     1     4
 -1.6622689811988572E-01 a        75     0     8     1     5
  1.1339257610897356E-01 a        76     0     8     1     6
 -4.9273628251873314E-02 a        77     0     8     1     7
 -2.6627163531300676E-02 a        78     0     8     1     8
  1.2957627021644805E-01 a        79     0     8     1     9
 -4.6476386660820594E-02 a        80     0     8     1    10
  3.2297273782253921E-01 a        81     0     9     1     1
  1.5876914861137337E-01 a        82     0     9     1     2
  2.2794172178866947E-02 a        83     0     9     1     3
 -5.5460710582516677E-02 a        84     0     9     1     4
  9.6608264793386606E-02 a        85     0     9     1     5
 -1.1361016488332190E-01 a        86     0     9     1     6
  2.4238225531299326E-01 a        87     0     9     1     7
  1.5488068640215890E-02 a        88     0     9     1     8
 -2.4892679405854445E-02 a        89     0     9     1     9
 -2.0418085276991160E-01 a        90     0     9     1    10
 -2.8037472428247027E-03 a        91     0    10     1     1
 -2.5610712640389127E-01 a        92     0    10     1     2
  1.2084191407310892E-01 a        93     0    10     1     3
  1.5683023159361939E-01 a        94     0    10     1     4
 -2.4600447912984216E-01 a        95     0    10     1     5
 -1.3202281467109200E-01 a        96     0    10     1     6
  2.4463877815523810E-01 a        97     0    10     1     7
 -1.1097804436224881E-01 a        98     0    10     1     8
 -2.9048322059251963E-01 a        99     0    10     1     9
 -2.3489381877426582E-01 a       100     0    10     1    10
 -1.5179902209563129E-01 a       101     0    11     1     1
  2.4379051577977046E-01 a       102     0    11     1     2
  3.0407861894498450E-01 a       103     0    11     1     3
  2.7222986477006444E-01 a       104     0    11     1     4
  2.6029285069218244E-01 a       105     0    11     1     5
  1.4451350017130746E-01 a       106     0    11     1     6
  6.9642396737132947E-02 a       107     0    11     1     7
 -1.7658786762831950E-02 a       108     0    11     1     8
  2.7918274412142041E-01 a       109     0    11     1     9
  2.9350072094478541E-01 a       110     0    11     1    10
 -1.5136314438499315E-01 a       111     0    12     1     1
 -4.0966523102176369E-02 a       112     0    12     1     2
 -3.1902602845640610E-01 a       113     0    12     1     3
 -3.2679170725172832E-02 a       114     0    12     1     4
  2.0876456774680963E-01 a       115     0    12     1     5
  9.8849660228754271E-02 a       116     0    12     1     6
 -2.0621844193891831E-01 a       117     0    12     1     7
 -2.9126212364166870E-01 a       118     0    12     1     8
  2.8540164383300537E-01 a       119     0    12     1     9
  9.0034392487182285E-03 a       120     0    12     1    10
  3.4378736636572338E-01 a       121     0    13     1     1
 -2.5242452036213509E-01 a       122     0    13     1     2
  2.6239226507759927E-01 a       123     0    13     1     3
 -2.0240566268464069E-01 a       124     0    13     1     4
  2.9337434619924380E-01 a       125     0    13     1     5
  9.1498908857175432E-02 a       126     0    13     1     6
 -1.6315179507052635E-01 a       127     0    13     1     7
  1.9579332203631597E-01 a       128     0    13     1     8
  3.8642654026416734E-01 a       129     0    13     1     9
 -6.0045160153012991E-02 a       130     0    13     1    10
 -1.8609446877550004E-01 a       131     0    14     1     1
  2.5431038328877176E-01 a       132     0    14     1     2
  1.8791627136998937E-01 a       133     0    14     1     3
  3.2646873931459630E-01 a       134     0    14     1     4
 -2.7214521402897960E-02 a       135     0    14     1     5
 -1.5315991937001436E-01 a       136     0    14     1     6
 -1.1449706968564126E-01 a       137     0    14     1     7
  2.7858530613813032E-01 a       138     0    14     1     8
 -3.6676495606810987E-02 a       139     0    14     1     9
  1.8483997042284797E-01 a       140     0    14     1    10
  2.3837894683335289E-01 a       141     0    15     1     1
  3.0440027280507836E-01 a       142     0    15     1     2
  1.8005891588736048E-01 a       143     0    15     1     3
 -5.1772235762181013E-02 a       144     0    15     1     4
 -3.6008274260166362E-01 a       145     0    15     1     5
 -1.8457456560235458E-01 a       146     0    15     1     6
  1.9436766007576103E-01 a       147     0    15     1     7
 -2.4309538400615043E-02 a       148     0    15     1     8
  3.6415735068278408E-02 a       149     0    15     1     9
 -3.1790336480998538E-01 a       150     0    15     1    10
  1.0946064673495891E-01 a       151     0    16     1     1
  1.1220507386195616E-01 a       152     0    16     1     2
 -1.2321474555437178E-02 a       153     0    16     1     3
  9.3663569953671852E-02 a       154     0    16     1     4
 -8.3787010690010138E-03 a       155     0    16     1     5
 -2.1171297697950728E-01 a       156     0    16     1     6
 -5.5145986872158007E-02 a       157     0    16     1     7
  2.6867241514581525E-01 a       158     0    16     1     8
  1.7119800321995005E-01 a       159     0    16     1     9
  2.7346234933683450E-01 a       160     0    16     1    10
  6.5535519792618818E-02 a       161     0    17     1     1
 -1.8598097026893906E-01 a       162     0    17     1     2
 -2.6718827432941689E-01 a       163     0    17     1     3
  6.9674259981896261E-02 a       164     0    17     1     4
 -2.1833649932983532E-01 a       165     0    17     1     5
  6.0875768090549086E-02 a       166     0    17     1     6
  3.0033270502728482E-01 a       167     0    17     1     7
  2.7679014956295472E-01 a       168     0    17     1     8
 -1.2347122326180737E-02 a       169     0    17     1     9
  1.9341922206470541E-01 a       170     0    17     1    10
  1.2672115624745617E-01 a       171     0    18     1     1
  1.7672313217006688E-01 a       172     0    18     1     2
  2.1056964212207432E-01 a       173     0    18     1     3
  1.4834532874773354E-01 a       174     0    18     1     4
 -1.8969682869714047E-01 a       175     0    18     1     5
 -5.5053276866032272E-02 a       176     0    18     1     6
 -1.2712909341658918E-01 a       177     0    18     1     7
  2.4489819458155715E-01 a       178     0    18     1     8
  4.1453087323783631E-02 a       179     0    18     1     9
  2.5133671262232909E-01 a       180     0    18     1    10
  1.6884787903587020E-02 a       181     0    19     1     1
 -2.5688439948594521E-01 a       182     0    19     1     2
  2.0552561937982290E-04 a       183     0    19     1     3
 -3.1385899431324354E-01 a       184     0    19     1     4
 -2.5695602207034557E-01 a       185     0    19     1     5
  1.6479319953275057E-01 a       186     0    19     1     6
  3.3440822144954102E-01 a       187     0    19     1     7
 -1.0354331482561425E-01 a       188     0    19     1     8
  2.9926944391240301E-01 a       189     0    19     1     9
  9.5095352711941208E-02 a       190     0    19     1    10
 -5.3808279040792731E-02 a       191     0    20     1     1
  1.8104846226178728E-01 a       192     0    20     1     2
  3.2100753256887204E-01 a       193     0    20     1     3
 -6.1281615739952706E-03 a       194     0    20     1     4
 -2.2843774603272385E-01 a       195     0    20     1     5
  1.7725416839275959E-01 a       196     0    20     1     6
 -3.1744296453307375E-01 a       197     0    20     1     7
  8.0570107592889864E-02 a       198     0    20     1     8
  2.6466334184485391E-01 a       199     0    20     1     9
 -2.2415956202976986E-01 a       200     0    20     1    10
 -1.6889463774187499E-02 a       201     0    21     1     1
 -8.6866779943553761E-03 a       202     0    21     1     2
 -2.0060183978224369E-01 a       203     0    21     1     3
 -2.5608537709245965E-01 a       204     0    21     1     4
 -3.2584239788810830E-02 a       205     0    21     1     5
 -2.1501897360189515E-01 a       206     0    21     1     6
  1.3418051326885172E-01 a       207     0    21     1     7
 -2.6015999959645791E-01 a       208     0    21     1     8
  2.1793144593413222E-01 a       209     0    21     1     9
 -2.2017034483613790E-01 a       210     0    21     1    10
 -1.8760479740337097E-01 a       211     0    22     1     1
 -6.8018280431180175E-02 a       212     0    22     1     2
 -2.4803095500765779E-01 a       213     0    22     1     3
 -3.4158746458177847E-01 a       214     0    22     1     4
 -8.1002738891603407E-02 a       215     0    22     1     5
  8.0969707241005662E-02 a       216     0    22     1     6
 -7.0350918436151003E-02 a       217     0    22     1     7
  3.1477835944449845E-01 a       218     0    22     1     8
 -2.4912709192992893E-01 a       219     0    22     1     9
 -7.6351080180919365E-02 a       220     0    22     1    10
