################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5220378258664899E-01 a         1     0     1     1     1
 -3.0468793410844430E-01 a         2     0     1     1     2
  2.0947597822456204E-01 a         3     0     1     1     3
 -5.7534675550549530E-02 a         4     0     1     1     4
  4.1148256891129463E-03 a         5     0     1     1     5
  1.4223679110841927E-01 a         6     0     1     1     6
 -1.0482580866205275E-01 a         7     0     1     1     7
 -1.2380639752561752E-01 a         8     0     1     1     8
 -1.8731565350846194E-01 a         9     0     1     1     9
  1.7820050717144048E-01 a        10     0     1     1    10
 -1.6779972441936455E-01 a        11     0     2     1     1
  2.7154182214496603E-01 a        12     0     2     1     2
 -7.3866400598264687E-02 a        13     0     2     1     3
  2.9318992516893688E-01 a        14     0     2     1     4
  4.3409164628122859E-02 a        15     0     2     1     5
  1.5377980036102956E-01 a        16     0     2     1     6
 -8.2246137745621603E-02 a        17     0     2     1     7
  2.1052619646131265E-01 a        18     0     2     1     8
 -1.4867903701748222E-01 a        19     0     2     1     9
 -2.3309325307592074E-01 a        20     0     2     1    10
  1.9749301277693630E-03 a        21     0     3     1     1
 -3.6665249491357549E-02 a        22     0     3     1     2
 -1.1074673000135010E-02 a        23     0     3     1     3
 -3.6751114193204489E-02 a        24     0     3     1     4
  2.9268872946320873E-01 a        25     0     3     1     5
 -1.2499738023296354E-01 a        26     0     3     1     6
  8.0614846826018327E-02 a        27     0     3     1     7
 -1.5651609735412564E-01 a        28     0     3     1     8
  2.5788987764908439E-01 a        29     0     3     1     9
 -2.0846322340997608E-01 a        30     0     3     1    10
 -3.1042324079747952E-01 a        31     0     4     1     1
  1.2816218399442636E-01 a        32     0     4     1     2
 -2.4361855364328508E-01 a        33     0     4     1     3
 -2.4551551015335304E-02 a        34     0     4     1     4
 -7.3414850655168645E-02 a        35     0     4     1     5
 -2.2574573292233746E-01 a        36     0     4     1     6
  5.3081309601021434E-02 a        37     0     4     1     7
 -3.4564928511790334E-02 a        38     0     4     1     8
 -1.6073158511463813E-02 a        39     0     4     1     9
  2.1987143202371062E-01 a        40     0     4     1    10
  4.9317191107810666E-02 a        41     0     5     1     1
