################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8041172815884229E-01 a         1     0     1     1     1
  5.2296560785666212E-02 a         2     0     1     1     2
 -3.7988831603132989E-01 a         3     0     1     1     3
 -3.8939092483778687E-01 a         4     0     1     1     4
  3.9199828856498801E-02 a         5     0     1     1     5
  8.1386439309180728E-02 a         6     0     1     1     6
 -2.5146577018184585E-01 a         7     0     1     1     7
 -2.1419405007517822E-01 a         8     0     1     1     8
  3.1451699695051394E-01 a         9     0     1     1     9
  2.1397408941839799E-01 a        10     0     1     1    10
  2.6994734741132181E-01 a        11     0     1     1    11
 -3.1679233601966034E-01 a        12     0     1     1    12
  4.2451117409941275E-01 a        13     0     1     1    13
  8.5054752168428505E-02 a        14     0     1     1    14
  6.6716326936833131E-02 a        15     0     1     1    15
 -1.5942403503420616E-01 a        16     0     2     1     1
  2.7596485740964066E-01 a        17     0     2     1     2
  4.2821648257381545E-01 a        18     0     2     1     3
 -4.0647989481911584E-01 a        19     0     2     1     4
 -4.5009730964938011E-01 a        20     0     2     1     5
  9.1202755589689141E-02 a        21     0     2     1     6
 -3.9970248764553301E-01 a        22     0     2     1     7
  5.7958798697544611E-01 a        23     0     2     1     8
 -1.9483900677844276E-01 a        24     0     2     1     9
  3.9701506204280229E-02 a        25     0     2     1    10
 -3.7613057661314945E-04 a        26     0     2     1    11
 -3.9044199164962247E-02 a        27     0     2     1    12
 -3.6191705066562990E-01 a        28     0     2     1    13
  2.7835355659465066E-01 a        29     0     2     1    14
 -3.1177641428095965E-01 a        30     0     2     1    15
 -4.2238405272586295E-03 a        31     0     3     1     1
 -7.8971018486850009E-02 a        32     0     3     1     2
 -3.6064779584391643E-01 a        33     0     3     1     3
  5.2878284681584931E-01 a        34     0     3     1     4
 -2.3215708593277329E-01 a        35     0     3     1     5
 -1.4938760385158079E-01 a        36     0     3     1     6
  1.2912015870342375E-01 a        37     0     3     1     7
  1.0276224814135482E-01 a        38     0     3     1     8
 -1.5777803006169790E-02 a        39     0     3     1     9
  3.7507485901054433E-01 a        40     0     3     1    10
 -4.6768682291266328E-01 a        41     0     3     1    11
 -4.0131330313242652E-01 a        42     0     3     1    12
  1.2325271825039329E-01 a        43     0     3     1    13
  2.3311225776555861E-01 a        44     0     3     1    14
 -2.3181495691055497E-02 a        45     0     3     1    15
 -2.4674204743009681E-01 a        46     0     4     1     1
 -3.8026434055409303E-01 a        47     0     4     1     2
 -3.8481653411813976E-02 a        48     0     4     1     3
 -2.1386613388978770E-01 a        49     0     4     1     4
 -2.9823413331637522E-01 a        50     0     4     1     5
  3.2037484950752204E-01 a        51     0     4     1     6
 -4.9557403533238320E-01 a        52     0     4     1     7
  4.1108270017240864E-02 a        53     0     4     1     8
 -4.3007031387550054E-01 a        54     0     4     1     9
 -9.9849624177066984E-02 a        55     0     4     1    10
  2.2740782926477623E-01 a        56     0     4     1    11
 -3.9391671988266203E-01 a        57     0     4     1    12
  3.5980630960537149E-02 a        58     0     4     1    13
 -2.0224893122169432E-01 a        59     0     4     1    14
  3.0525355790675640E-01 a        60     0     4     1    15
  4.5363060868137373E-01 a        61     0     5     1     1
  1.7196900882510188E-01 a        62     0     5     1     2
 -3.3248463215771085E-01 a        63     0     5     1     3
 -3.5700138336589904E-01 a        64     0     5     1     4
  3.6245909344071586E-01 a        65     0     5     1     5
  8.7298636430889656E-02 a        66     0     5     1     6
 -4.8471635626564319E-01 a        67     0     5     1     7
  2.8669165745889497E-01 a        68     0     5     1     8
 -2.9022289291519645E-02 a        69     0     5     1     9
 -4.4853480581750221E-01 a        70     0     5     1    10
 -1.2444351136340916E-01 a        71     0     5     1    11
 -1.4381838794904767E-01 a        72     0     5     1    12
 -3.2337788265602763E-01 a        73     0     5     1    13
  1.8299307863182526E-01 a        74     0     5     1    14
  2.7972178392691566E-01 a        75     0     5     1    15
  4.6410799100629746E-01 a        76     0     6     1     1
 -3.2299012727848536E-01 a        77     0     6     1     2
 -3.0281286928520718E-01 a        78     0     6     1     3
  1.4608068921546627E-01 a        79     0     6     1     4
  4.6652628145152758E-01 a        80     0     6     1     5
 -7.2076901016290593E-02 a        81     0     6     1     6
 -4.0647785934850861E-01 a        82     0     6     1     7
 -3.9399575792526825E-01 a        83     0     6     1     8
 -4.0077360173902055E-01 a        84     0     6     1     9
  2.7612659548773660E-01 a        85     0     6     1    10
 -3.0108215271863870E-01 a        86     0     6     1    11
  5.9351880529677037E-01 a        87     0     6     1    12
  4.6063811871677773E-01 a        88     0     6     1    13
  2.4665488020205131E-01 a        89     0     6     1    14
 -2.0952124454761789E-01 a        90     0     6     1    15
  6.1725250738188658E-02 a        91     0     7     1     1
  1.0988730404622694E-01 a        92     0     7     1     2
 -1.2102012419832682E-01 a        93     0     7     1     3
  1.8283748446562359E-02 a        94     0     7     1     4
 -1.3564412553065863E-01 a        95     0     7     1     5
  2.9177782704714306E-01 a        96     0     7     1     6
 -4.5958765378047994E-01 a        97     0     7     1     7
 -1.4376562060279904E-01 a        98     0     7     1     8
  4.1500502799969957E-01 a        99     0     7     1     9
  2.3502847088372508E-02 a       100     0     7     1    10
 -8.2706847274888459E-02 a       101     0     7     1    11
 -2.0003899722226789E-01 a       102     0     7     1    12
  1.2892414274737818E-01 a       103     0     7     1    13
  1.4631699540221671E-02 a       104     0     7     1    14
 -4.0300615156955974E-02 a       105     0     7     1    15
  8.7756315415029360E-02 a       106     0     8     1     1
 -9.5137455763273177E-02 a       107     0     8     1     2
 -6.9162778613237386E-02 a       108     0     8     1     3
 -1.7357072593708714E-01 a       109     0     8     1     4
