################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8100932115850829E-01 a         1     0     1     1     1
 -2.1489877265490436E-02 a         2     0     1     1     2
 -4.2175270809305448E-01 a         3     0     1     1     3
 -3.7763974434808562E-01 a         4     0     1     1     4
  4.8891635148592072E-02 a         5     0     1     1     5
  7.5327407198113552E-02 a         6     0     1     1     6
 -2.4151360302998506E-01 a         7     0     1     1     7
 -2.4476022834232283E-01 a         8     0     1     1     8
  3.1432979423496465E-01 a         9     0     1     1     9
  2.6373648544673939E-01 a        10     0     1     1    10
  3.0725251084994876E-01 a        11     0     1     1    11
 -3.0210372784053718E-01 a        12     0     1     1    12
  4.3234021226716673E-01 a        13     0     1     1    13
  5.9218954614641606E-02 a        14     0     1     1    14
  6.1282869544221470E-02 a        15     0     1     1    15
 -1.6005598443427266E-01 a        16     0     2     1     1
  2.0255184809928917E-01 a        17     0     2     1     2
  3.8656994315042459E-01 a        18     0     2     1     3
 -3.9478905681651744E-01 a        19     0     2     1     4
 -4.4126216031583260E-01 a        20     0     2     1     5
  8.5006603334123909E-02 a        21     0     2     1     6
 -3.9026663775188208E-01 a        22     0     2     1     7
  5.4864391794496370E-01 a        23     0     2     1     8
 -1.9525091821528909E-01 a        24     0     2     1     9
  9.0654425615516607E-02 a        25     0     2     1    10
  3.7677057212264511E-02 a        26     0     2     1    11
 -2.4321220353678230E-02 a        27     0     2     1    12
 -3.5316505249206248E-01 a        28     0     2     1    13
  2.5275420390932163E-01 a        29     0     2     1    14
 -3.1645500301630314E-01 a        30     0     2     1    15
 -5.1351758242145096E-03 a        31     0     3     1     1
 -1.5350056263218292E-01 a        32     0     3     1     2
 -4.0230642936632710E-01 a        33     0     3     1     3
  5.3978561347902476E-01 a        34     0     3     1     4
 -2.2674307968243287E-01 a        35     0     3     1     5
 -1.5589658264294987E-01 a        36     0     3     1     6
  1.3406158378777289E-01 a        37     0     3     1     7
  7.0126905195633527E-02 a        38     0     3     1     8
 -1.7308852796313556E-02 a        39     0     3     1     9
  4.3275826501234560E-01 a        40     0     3     1    10
 -4.2625540545037049E-01 a        41     0     3     1    11
 -3.8651034966462494E-01 a        42     0     3     1    12
  1.3552661375781758E-01 a        43     0     3     1    13
  2.0739927780878789E-01 a        44     0     3     1    14
 -2.4974777761771576E-02 a        45     0     3     1    15
 -2.4835911952154011E-01 a        46     0     4     1     1
 -4.5936328509084706E-01 a        47     0     4     1     2
 -8.0992315860113517E-02 a        48     0     4     1     3
 -2.0461770532280388E-01 a        49     0     4     1     4
 -2.9939890711981254E-01 a        50     0     4     1     5
  3.1349267128249314E-01 a        51     0     4     1     6
 -5.0064413652205475E-01 a        52     0     4     1     7
  5.5178974355403363E-03 a        53     0     4     1     8
 -4.3380102954202576E-01 a        54     0     4     1     9
 -2.8699501385748609E-02 a        55     0     4     1    10
  2.7518638332872986E-01 a        56     0     4     1    11
 -3.7912851283700566E-01 a        57     0     4     1    12
  5.4010069322304545E-02 a        58     0     4     1    13
 -2.2867003718679269E-01 a        59     0     4     1    14
  3.0863176268905118E-01 a        60     0     4     1    15
  4.5884936224131517E-01 a        61     0     5     1     1
  1.6818874338778636E-01 a        62     0     5     1     2
 -3.5384162415957010E-01 a        63     0     5     1     3
 -3.2830949498882289E-01 a        64     0     5     1     4
  4.0654183765726426E-01 a        65     0     5     1     5
