################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6353980100873217E-01 a       116     0     8     1    11
 -6.3569878342712896E-02 a       117     0     8     1    12
  2.1492640049474539E-02 a       118     0     8     1    13
 -2.7903823978076969E-01 a       119     0     8     1    14
 -7.6568084478940640E-03 a       120     0     8     1    15
  6.5958140756825168E-01 b       121     1     1
 -6.7334940204016103E-01 b       122     1     2
  1.4155466152215290E-01 b       123     1     3
  1.4214421555852905E+00 b       124     1     4
  7.0451231724327035E-01 b       125     1     5
  2.2543061640392645E+00 b       126     1     6
 -2.0552623030862599E-01 b       127     1     7
 -4.8922596825053893E-01 b       128     1     8
  1.7578906829852470E+00 b       129     1     9
 -9.4162069079295044E-02 b       130     1    10
 -1.6483625645560089E+00 b       131     1    11
  2.2598706167161264E+00 b       132     1    12
  4.2773913221711840E-01 b       133     1    13
 -1.8079292896376995E+00 b       134     1    14
 -1.3356656286825652E+00 b       135     1    15
  3.3907067228064369E-01 a       136     1     1     2     1
 -3.9953429669366558E-01 a       137     1     1     2     2
 -1.5249060802126135E-01 a       138     1     1     2     3
 -1.6293269163848667E-01 a       139     1     1     2     4
 -5.6185898586018723E-01 a       140     1     1     2     5
 -2.5907456246273754E-02 a       141     1     1     2     6
 -2.0182754668736570E-02 a       142     1     1     2     7
 -2.9977171478893971E-01 a       143     1     1     2     8
 -2.0701779681618995E-01 a       144     1     1     2     9
 -4.1847389466929091E-01 a       145     1     1     2    10
  1.6537270084615083E-01 a       146     1     1     2    11
  2.7084842042596502E-01 a       147     1     1     2    12
  1.3912017393464060E-01 a       148     1     1     2    13
  1.9613859319062465E-01 a       149     1     1     2    14
  7.7664575819263015E-03 a       150     1     1     2    15
 -8.1875629031068653E-02 a       151     1     2     2     1
 -3.2768179269743442E-01 a       152     1     2     2     2
 -6.4140832679212822E-01 a       153     1     2     2     3
  2.7536992340362060E-01 a       154     1     2     2     4
  5.3787306780575106E-01 a       155     1     2     2     5
