################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8103438430605284E-01 a         1     0     1     1     1
 -1.9778947174386136E-02 a         2     0     1     1     2
 -4.2149927419810435E-01 a         3     0     1     1     3
 -3.7770945331816042E-01 a         4     0     1     1     4
  5.0366789342849209E-02 a         5     0     1     1     5
  7.5183582896852813E-02 a         6     0     1     1     6
 -2.4324544178810012E-01 a         7     0     1     1     7
 -2.4594270366465737E-01 a         8     0     1     1     8
  3.1360637712408201E-01 a         9     0     1     1     9
  2.6400884519554874E-01 a        10     0     1     1    10
  3.0762005841475276E-01 a        11     0     1     1    11
 -2.9795831749280888E-01 a        12     0     1     1    12
  4.3261309806315018E-01 a        13     0     1     1    13
  5.7988558013041196E-02 a        14     0     1     1    14
  6.1156491999287479E-02 a        15     0     1     1    15
 -1.6006550515987517E-01 a        16     0     2     1     1
  2.0418454292504279E-01 a        17     0     2     1     2
  3.8665743883719622E-01 a        18     0     2     1     3
 -3.9475706609346328E-01 a        19     0     2     1     4
 -4.3960174749394604E-01 a        20     0     2     1     5
  8.4855529973385649E-02 a        21     0     2     1     6
 -3.9198028538818341E-01 a        22     0     2     1     7
  5.4752845887432733E-01 a        23     0     2     1     8
 -1.9598218973953405E-01 a        24     0     2     1     9
  9.0824549179768649E-02 a        25     0     2     1    10
  3.7966084891043653E-02 a        26     0     2     1    11
 -2.0119919058716625E-02 a        27     0     2     1    12
 -3.5289727517166453E-01 a        28     0     2     1    13
  2.5145914682397730E-01 a        29     0     2     1    14
 -3.1668004731174942E-01 a        30     0     2     1    15
 -5.0991792023578489E-03 a        31     0     3     1     1
 -1.5202613766457626E-01 a        32     0     3     1     2
 -4.0278006063541805E-01 a        33     0     3     1     3
  5.4018878323065678E-01 a        34     0     3     1     4
 -2.2434950524831676E-01 a        35     0     3     1     5
 -1.5607777863898853E-01 a        36     0     3     1     6
  1.3231543444366503E-01 a        37     0     3     1     7
  6.9241904553140166E-02 a        38     0     3     1     8
 -1.8057207600204763E-02 a        39     0     3     1     9
  4.3261605322387719E-01 a        40     0     3     1    10
 -4.2624053241863102E-01 a        41     0     3     1    11
 -3.8216399314512184E-01 a        42     0     3     1    12
  1.3579110940300454E-01 a        43     0     3     1    13
  2.0585101409407325E-01 a        44     0     3     1    14
 -2.5533273224682729E-02 a        45     0     3     1    15
 -2.4825964937489040E-01 a        46     0     4     1     1
 -4.5802480543665747E-01 a        47     0     4     1     2
 -8.2374449235628047E-02 a        48     0     4     1     3
 -2.0359104394299135E-01 a        49     0     4     1     4
 -2.9573414042054552E-01 a        50     0     4     1     5
  3.1325534487806839E-01 a        51     0     4     1     6
 -5.0255046802898184E-01 a        52     0     4     1     7
  5.0160446211263430E-03 a        53     0     4     1     8
 -4.3457054303067483E-01 a        54     0     4     1     9
 -2.9310346494891549E-02 a        55     0     4     1    10
  2.7474859576863531E-01 a        56     0     4     1    11
 -3.7458881131136912E-01 a        57     0     4     1    12
  5.4279433428771146E-02 a        58     0     4     1    13
 -2.3064694280018636E-01 a        59     0     4     1    14
  3.0755151848949897E-01 a        60     0     4     1    15
