################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7360989620691011E-01 a         1     0     1     1     1
 -1.5512023601993866E-02 a         2     0     1     1     2
 -4.2943990638781032E-01 a         3     0     1     1     3
 -3.7994823856874232E-01 a         4     0     1     1     4
  4.6356571022298003E-02 a         5     0     1     1     5
  6.3273372624980131E-02 a         6     0     1     1     6
 -2.4207677367308275E-01 a         7     0     1     1     7
 -2.3691643167620557E-01 a         8     0     1     1     8
  3.1801550493714364E-01 a         9     0     1     1     9
  2.6373295088418308E-01 a        10     0     1     1    10
  2.9893032265577935E-01 a        11     0     1     1    11
 -3.1126736008723394E-01 a        12     0     1     1    12
  4.1898046390798038E-01 a        13     0     1     1    13
  5.9965827345067557E-02 a        14     0     1     1    14
  5.3781569258930434E-02 a        15     0     1     1    15
 -1.5275433044348069E-01 a        16     0     2     1     1
  2.0939174836588736E-01 a        17     0     2     1     2
  3.7920801259559189E-01 a        18     0     2     1     3
 -3.9728874038524087E-01 a        19     0     2     1     4
 -4.4461978398558499E-01 a        20     0     2     1     5
  7.2948084818153666E-02 a        21     0     2     1     6
 -3.9081170991452258E-01 a        22     0     2     1     7
  5.5654157957501849E-01 a        23     0     2     1     8
 -1.9159931489553358E-01 a        24     0     2     1     9
  9.1132467983797330E-02 a        25     0     2     1    10
  2.9553532118796508E-02 a        26     0     2     1    11
 -3.3605222596220785E-02 a        27     0     2     1    12
 -3.6674848375773783E-01 a        28     0     2     1    13
  2.5340227445645308E-01 a        29     0     2     1    14
 -3.2374488644556787E-01 a        30     0     2     1    15
  2.1001817965958327E-03 a        31     0     3     1     1
 -1.4408333179344909E-01 a        32     0     3     1     2
 -4.0893533257714892E-01 a        33     0     3     1     3
  5.3664228441884221E-01 a        34     0     3     1     4
 -2.3299521388096295E-01 a        35     0     3     1     5
 -1.6789151592063931E-01 a        36     0     3     1     6
  1.3421339109521113E-01 a        37     0     3     1     7
  7.8646028282880309E-02 a        38     0     3     1     8
 -1.3557353086098935E-02 a        39     0     3     1     9
  4.3435203545457424E-01 a        40     0     3     1    10
 -4.3407099162098517E-01 a        41     0     3     1    11
 -3.9621382196707688E-01 a        42     0     3     1    12
