################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1         66       1376  -5.76222095E+00   5.29619395E+00  -3.45181274E-01   1.51579307E+00
         1         67       1376  -7.07034910E+00   6.34136019E+00  -8.11159355E-01   2.69695066E+00
         1         68       1376  -1.11693115E+01  -2.91937196E+00  -7.76477325E+00   1.55483197E+00
         1         69       1376  -4.73780770E+00  -7.46766316E-01  -3.62676103E+00   7.31321755E-01
         1         70       1376  -4.14612941E+00  -1.76534280E-01  -2.74556849E+00   5.21081881E-01
         1         71       1376  -4.10452835E+00   4.18820509E+00   3.17553174E-01   1.12661032E+00
         1         72       1376  -7.70941368E+00  -2.92813429E+00  -6.11984582E+00   9.50315162E-01
         1         73       1376  -9.91423702E+00   1.98845776E+00  -5.35206469E+00   1.93741831E+00
         1         74       1376  -7.16110097E+00   5.56995226E+00  -5.61026276E-01   2.83091979E+00
         1         75       1376  -7.78473758E+00   1.35450174E+00  -4.32450941E+00   1.70209776E+00
         1         76       1376  -1.12557500E+01   5.71174669E+00  -5.96594324E+00   2.71979497E+00
         1         77       1376   3.52002540E+00   6.85657029E+00   5.55105540E+00   6.73791932E-01
         1         78       1376  -6.08603887E+00   1.47414474E+01  -9.95331109E-01   3.58891892E+00
         2          1        688  -6.40596800E-01   3.59403200E-01   1.64919757E-16   1.40100214E-01
         2          2        688  -6.40953053E-01   3.59046947E-01   1.30346315E-16   1.46768291E-01
         2          3        688  -6.27160763E-01   3.72839237E-01  -7.51175608E-17   1.43679126E-01
         2          4        688  -6.29271161E-01   3.70728839E-01  -2.13935781E-16   1.50490522E-01
         2          5        688  -5.70552327E-01   4.29447673E-01  -1.63568287E-16   1.50009333E-01
         2          6        688  -5.71447372E-01   4.28552628E-01  -1.34622610E-16   1.53785340E-01
         2          7        688  -4.92988715E-01   5.07011285E-01   5.65096258E-16   1.67414609E-01
         2          8        688  -5.29165359E-01   4.70834641E-01   1.92433279E-16   1.70437408E-01
         2          9        688  -4.11347547E-01   5.88652453E-01  -1.84122743E-16   1.67639959E-01
         2         10        688  -5.31762325E-01   4.68237675E-01   3.91321342E-18   1.61140822E-01
         2         11        688  -4.80117895E-01   5.19882105E-01  -1.47320383E-16   1.26230345E-01
         2         12        688  -4.94835005E-01   5.05164995E-01  -3.73550512E-16   1.82417978E-01
         2         13        688  -4.67699418E-01   5.32300582E-01  -3.56702515E-17   1.18709133E-01
         2         14        688  -4.25467610E-01   5.74532390E-01  -3.48961816E-17   1.92314341E-01
         2         15        688  -3.57736122E-01   6.42263878E-01   1.49614857E-16   1.18724391E-01
         2         16        688  -2.79537328E-01   7.20462672E-01   2.65453034E-17   1.88320609E-01
         2         17        688  -4.55433879E-01   5.44566121E-01  -1.10860933E-16   1.57048143E-01
         2         18        688  -3.70809799E-01   6.29190201E-01   5.54708088E-17   1.85257334E-01
         2         19        688  -5.47045624E-01   4.52954376E-01  -1.27441662E-16   1.56187150E-01
         2         20        688  -5.21671647E-01   4.78328353E-01   3.00107161E-16   1.67579112E-01
         2         21        688  -4.25813867E-01   5.74186133E-01  -7.21120515E-17   1.64357467E-01
         2         22        688  -4.88057171E-01   5.11942829E-01  -2.78483632E-16   1.61760088E-01
         2         23        688  -3.75142022E-01   6.24857978E-01  -2.36003078E-16   1.70178841E-01
         2         24        688  -4.23394409E-01   5.76605591E-01  -7.48351639E-18   1.67533672E-01
         2         25        688  -3.39440348E-01   6.60559652E-01   5.08314321E-18   1.69928657E-01
         2         26        688  -4.29629550E-01   5.70370450E-01   1.95579986E-16   1.55045834E-01
         2         27        688  -4.46469822E-01   5.53530178E-01   1.09731345E-17   1.70276242E-01
         2         28        688  -3.46385296E-01   6.53614704E-01  -1.00371907E-16   1.63759240E-01
         2         29        688  -3.82288437E-01   6.17711563E-01  -3.79541360E-16   1.30872374E-01
         2         30        688  -4.37025614E-01   5.62974386E-01  -2.24102068E-16   1.57116613E-01
         2         31        688  -2.26792385E+00   1.03694587E+00  -6.25296554E-01   5.36471605E-01
         2         32        688  -1.78078657E+00   1.24807870E+00  -3.60435319E-01   5.00251947E-01
         2         33        688  -2.16818941E+00   1.36918816E-01  -1.09993558E+00   2.85000099E-01
         2         34        688  -8.67164976E-01   1.39950548E+00   4.74444167E-01   3.61751314E-01
         2         35        688  -1.07143578E+00   4.79484175E+00   1.88156528E+00   8.89433638E-01
         2         36        688  -1.28565047E+00   4.17484591E-01  -5.33790298E-01   2.61919148E-01
         2         37        688  -1.39393714E+00   3.19623108E+00   8.73112284E-01   7.27251457E-01
         2         38        688  -8.57736734E-01   1.83767259E-01  -3.05791772E-01   1.78512932E-01
         2         39        688  -7.21080851E-01   1.19289757E+00   1.05364323E-01   3.13793146E-01
         2         40        688  -4.10097986E+00   6.46342591E+00   8.96807172E-01   1.80649757E+00
         2         41        688  -1.84084126E+00   1.12659504E+00  -5.24480225E-01   5.26518114E-01
         2         42        688  -1.77424651E+00   1.11142555E+00  -2.96817037E-01   4.61535944E-01
         2         43        688  -1.34442837E+00   1.58450954E+00   2.09716046E-02   4.97490937E-01
         2         44        688   1.06004736E+00   1.65936180E+00   1.35961022E+00   9.19701331E-02
         2         45        688   7.18838257E-01   1.48514627E+00   1.14343733E+00   9.79635148E-02
         2         46        688  -2.29313739E+00  -7.49469903E-02  -1.30307309E+00   3.11881682E-01
         2         47        688  -1.09164183E+00   2.88445545E+00   8.77158746E-01   6.54314597E-01
         2         48        688   1.98997618E-01   4.90915219E+00   2.57284723E+00   7.22656536E-01
         2         49        688   1.77131032E-01   1.54691393E+00   7.77171907E-01   2.19670867E-01
         2         50        688  -2.36116503E+00   7.29749061E-01  -9.28649884E-01   4.47225298E-01
         2         51        688  -3.09215450E-01   2.08651652E+00   1.03932252E+00   4.12244921E-01
         2         52        688  -1.27053616E+00  -1.21041426E-01  -7.46844425E-01   1.87943072E-01
         2         53        688  -1.85946455E+00   1.75067805E+00  -1.54102965E-01   5.81164227E-01
         2         54        688  -2.13423709E+00   2.15087188E+00   3.12820627E-02   6.83771129E-01
         2         55        688  -9.93676774E-01  -4.10480588E-01  -6.85014734E-01   9.75476940E-02
         2         56        688  -3.58502769E+00  -1.32268842E+00  -2.79198297E+00   5.18315553E-01
         2         57        688  -4.33603998E+00  -2.15921136E+00  -3.40551425E+00   4.25478144E-01
         2         58        688  -6.38685023E+00   2.90450225E-01  -4.49535835E+00   1.25729853E+00
         2         59        688  -2.47242779E-01   5.06358558E-01   2.70669909E-01   8.92768206E-02
         2         60        688   2.25696942E+00   5.40757961E+00   4.76858007E+00   4.44865623E-01
         2         61        688  -1.81648252E+00   2.26708707E+00   6.52197551E-01   7.98502554E-01
         2         62        688  -4.28250000E+00   1.89298283E+00  -2.04359920E+00   9.72119827E-01
         2         63        688  -1.74473297E+00   1.83241441E+00   1.14807617E-01   6.02255556E-01
         2         64        688  -4.39451010E+00   2.87434232E+00  -1.28474190E+00   1.48056781E+00
         2         65        688  -3.61655387E+00   1.83473273E-01  -2.16731063E+00   9.27537470E-01
         2         66        688  -4.82490788E-01   1.15977788E+00   4.42264247E-01   2.75333177E-01
         2         67        688   7.38601817E-01   3.29612365E+00   2.35017949E+00   4.94033324E-01
         2         68        688  -4.80454484E+00   2.81528765E+00  -1.82829836E+00   1.39367491E+00
         2         69        688   2.69106022E+00   8.00621005E+00   6.61730094E+00   9.06255596E-01
         2         70        688  -5.01224479E+00   6.43513721E+00   2.01960134E+00   2.30155158E+00
         2         71        688  -4.30215041E+00  -2.30485651E+00  -3.50241188E+00   4.54758183E-01
         2         72        688  -4.18679363E+00   3.50056930E-01  -2.63140038E+00   1.24834575E+00
         2         73        688   2.73590419E-01   3.68014308E+00   2.96761351E+00   3.35246676E-01
         2         74        688   1.04016442E+00   2.24558015E+00   1.72635633E+00   1.72441893E-01
         2         75        688  -4.83363515E+00  -2.05042377E+00  -3.87281915E+00   6.17303270E-01
         2         76        688  -3.60361476E+00   1.66480957E+00  -1.48400832E+00   1.09872045E+00
         2         77        688  -3.31713536E-01   3.41001341E+00   2.13819281E+00   4.99957694E-01
         2         78        688  -4.89112159E+00  -1.96030479E+00  -3.78325089E+00   6.60585703E-01
         2         79        688  -1.48609120E-01   3.71982230E+00   2.28598518E+00   6.18865730E-01
         2         80        688  -2.72578570E+00   9.03851903E-01  -1.44691990E+00   4.77380899E-01
         2         81        688  -2.68895013E+00   7.42092822E+00   1.70112321E+00   1.43835579E+00
