################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         0          0  -2.43945873E-01  -2.99748431E-01
         0          0  -1.06559112E-01   2.39107413E-01
         0          0  -1.04571589E+00  -2.66789550E-01
         0          1   1.68759484E-01  -2.26361953E-01
         0          1  -1.93233205E-02  -7.46204380E-02
         0          1   1.88748617E-01   5.94944103E-02
         0          2   3.57935427E-03  -8.25383850E-02
         0          2   8.26060351E-02   8.67266669E-02
         0          2   8.75182323E-01   2.60619589E-01
         0          3  -8.63116931E-03   3.84889003E-02
         0          3  -2.67136196E-01  -1.44903546E-01
         0          3   1.00657214E+00  -4.86412440E-01
         0          4  -5.73512186E-02   1.51814446E-01
         0          4   1.04245709E-01  -4.67674352E-01
         0          4  -6.87032612E-01   2.86528354E-01
         0          5   1.04186162E-01   1.29138142E-02
         0          5   2.34316489E-01   5.26657809E-01
         0          5  -2.30530924E-01   3.18766329E-01
         0          6   3.79979304E-01   2.70198781E-02
         0          6   5.98186737E-01  -2.21059370E-02
         0          6   1.31119534E+00  -2.33283048E-02
         0          7  -3.10105930E-01   4.94798064E-02
         0          7  -9.30168885E-01   6.29075808E-03
         0          7  -1.13546207E+00   4.25781752E-04
         0          8  -2.50207791E-01   1.69511861E-02
         0          8   2.64557746E-01  -4.36577450E-02
         0          8  -1.20270301E-01   7.20101871E-02
         0          9  -9.11696033E-01   3.31284932E-01
         0          9  -4.76464298E-01   9.01813179E-01
         0          9   4.57358917E-01   7.46546971E-01
         0         10   8.29600667E-02   4.41399507E-01
         0         10  -4.41224310E-01  -2.44247587E-01
         0         10  -3.61242749E-01  -2.17309876E-01
         0         11   7.93115124E-01  -5.89717000E-01
         0         11   8.26803940E-01  -6.52930901E-01
         0         11  -2.24408348E-01   3.49254548E-02
         0         12  -2.03032787E-01  -7.66768412E-01
         0         12  -6.82847702E-02  -1.10297726E+00
         0         12   2.04182857E-01   3.49416237E-01
         0         13  -6.39323143E-02   7.97254327E-01
         0         13   3.82719322E-01   5.27879237E-01
         0         13  -1.03644711E-01  -7.01778915E-01
         0         14   5.46733767E-01  -2.41253112E-01
         0         14  -2.49195717E-01   5.55624535E-01
         0         14  -1.69147996E-01   2.80978402E-01
         0         15   2.00219250E-01   2.84736069E-02
         0         15   9.24557688E-01   2.96073026E-01
         0         15  -1.99195445E-01  -4.59467245E-01
         0         16  -4.82157456E-01  -1.08654102E-01
         0         16  -9.85816292E-01   4.89793329E-02
         0         16  -4.95453386E-02  -1.14341427E-01
         0         17   2.51913209E-01  -5.48846720E-02
         0         17   1.44941639E-01  -3.50927572E-01
         0         17  -1.75134146E-02   1.22787606E-02
         0         18  -4.47240905E-03  -5.04882272E-01
         0         18   3.08804713E-01   2.15067489E-01
         0         18   2.43950131E-01  -3.85479041E-02
         0         19   5.25249647E-03  -9.46413491E-02
         0         19  -4.17084000E-01   1.79587520E-02
         0         19  -5.13728396E-02  -1.96580285E-01
         0         20  -8.59216868E-02  -2.10007479E-02
         0         20  -8.65377026E-03  -1.24853214E-01
         0         20  -2.92361836E-01   2.93122489E-01
         0         21   2.43742688E-01  -1.15677262E+00
         0         21  -1.06618551E+00  -6.93862125E-01
         0         21  -1.96662795E-01  -4.35231160E-01
         0         22  -1.18448747E+00  -3.34217388E-01
         0         22   9.76316947E-01   1.83922356E-01
         0         22   2.66869916E-01   1.42534722E-02
         0         23   7.37113836E-01   1.37243975E+00
         0         23   2.22472661E-01   3.79509006E-01
         0         23   1.69971567E-01   3.11518623E-01
         0         24  -5.55374238E-01  -2.98580277E-01
         0         24  -4.35785328E-01  -4.04849990E-01
         0         24   9.92227003E-01  -3.70761007E-02
         0         25   7.50525646E-01   1.91503079E-02
         0         25   5.51717405E-02  -1.53647010E-02
         0         25  -3.10525785E-01  -1.84137165E-01
         0         26  -1.19521406E-01  -1.11455245E-01
         0         26   2.29502712E-01   4.10404443E-02
         0         26  -6.21854033E-01  -1.54184466E-01
         0         27  -9.48354239E-02   5.79964733E-01
         0         27   9.76971217E-01   4.04250115E-01
         0         27   1.99713810E-01   2.72513330E-01
         0         28  -5.22154289E-01  -1.07386189E-01
         0         28  -2.13447712E-01  -4.48051053E-01
         0         28  -9.69547199E-02  -4.55277955E-02
         0         29   7.70767947E-01  -2.71864193E-01
         0         29  -8.33187493E-01   1.61841550E-01
         0         29   1.79029726E-01  -1.51095761E-02
         0         30   3.91199532E-02  -1.23818767E+00
         0         30  -3.05937270E-01   6.63792409E-01
         0         30   3.46508465E-01  -7.41600552E-02
         0         31   1.61595247E-01   1.82608589E+00
         0         31   8.39077747E-03  -8.36902649E-01
         0         31   1.89524969E-01   5.22787109E-02
         0         32  -1.56876842E-01  -1.37731443E-01
         0         32   3.42670377E-01   5.70741931E-02
         0         32  -6.27213408E-01  -3.46667029E-01
         0         33   2.03952948E+00   4.26792627E-02
         0         33  -2.56891879E-01  -6.88702091E-01
         0         33   6.99825530E-01   1.19143210E-01
         0         34  -1.23690503E+00  -5.33226558E-01
         0         34   7.30903881E-01  -4.58617500E-02
         0         34   9.92709990E-02  -1.46460770E-01
         0         35  -7.16224065E-01   2.82105864E-01
         0         35  -7.31792752E-01   4.91832360E-02
         0         35  -7.25021584E-01   2.63273503E-01
         0         36  -1.19733220E-01  -9.12202400E-01
         0         36  -4.63616315E-01  -7.00033035E-02
         0         36   6.56511776E-01   1.12857674E+00
         0         37  -2.37588209E-02   7.65259687E-01
         0         37   6.80363093E-03  -2.07305839E-01
