################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.0387009795642391E-02 a         1     0     1     1     1
  1.2463823899587823E-01 a         2     0     1     1     2
 -1.5301987145652635E-01 a         3     0     1     1     3
  3.1083947077411339E-01 a         4     0     1     1     4
  3.7462219774416861E-01 a         5     0     1     1     5
  1.3242526497312934E-01 a         6     0     1     1     6
  8.4628014463994164E-02 a         7     0     1     1     7
  1.7759957647396998E-01 a         8     0     1     1     8
  2.1620234153895898E-01 a         9     0     1     1     9
  3.0035598758688838E-02 a        10     0     1     1    10
  2.0727938122216785E-01 a        11     0     2     1     1
  3.1442152859878258E-01 a        12     0     2     1     2
 -2.1835587619190980E-01 a        13     0     2     1     3
 -1.4921974517918322E-02 a        14     0     2     1     4
  3.2347640410847139E-01 a        15     0     2     1     5
  2.5433451091832254E-01 a        16     0     2     1     6
 -1.5533228300752652E-01 a        17     0     2     1     7
  1.7632032821723606E-01 a        18     0     2     1     8
  2.5762733182401426E-01 a        19     0     2     1     9
  3.8133537931128286E-01 a        20     0     2     1    10
 -2.4321209995292814E-01 a        21     0     3     1     1
 -3.9222509781404485E-01 a        22     0     3     1     2
  1.3147703991216040E-02 a        23     0     3     1     3
 -1.6606810659236071E-01 a        24     0     3     1     4
 -5.4182668096453342E-02 a        25     0     3     1     5
  1.8034353106604376E-01 a        26     0     3     1     6
  1.4923974447813718E-01 a        27     0     3     1     7
  1.3288125534447229E-01 a        28     0     3     1     8
 -1.5180601803236726E-01 a        29     0     3     1     9
 -6.7287364541727790E-02 a        30     0     3     1    10
  9.3053549094756424E-02 a        31     0     4     1     1
 -1.3322929019203406E-01 a        32     0     4     1     2
  1.0775345831231373E-01 a        33     0     4     1     3
 -6.8297895791248425E-02 a        34     0     4     1     4
 -1.0047109350364841E-01 a        35     0     4     1     5
  1.4758411856473441E-01 a        36     0     4     1     6
  3.1338969864390454E-01 a        37     0     4     1     7
  2.5624774697718563E-02 a        38     0     4     1     8
  3.0140740777907044E-01 a        39     0     4     1     9
 -3.7578156330673124E-01 a        40     0     4     1    10
  6.4636100013137923E-02 a        41     0     5     1     1
 -8.0600051912443238E-02 a        42     0     5     1     2
  1.5356856152290457E-01 a        43     0     5     1     3
 -2.6775975657277740E-01 a        44     0     5     1     4
  3.5485338117294629E-01 a        45     0     5     1     5
 -1.1306502340703820E-01 a        46     0     5     1     6
 -1.4239408993564207E-01 a        47     0     5     1     7
  8.5837116437970665E-02 a        48     0     5     1     8
 -1.7059243858092696E-01 a        49     0     5     1     9
 -3.0369550522693528E-01 a        50     0     5     1    10
 -1.9492410452261733E-01 a        51     0     6     1     1
