################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.8797264955742381E-02 a       117     0    12     1     7
  5.1925559124934864E-02 a       118     0    12     1     8
  1.9792951200812536E-01 a       119     0    12     1     9
  6.9811486227382407E-03 a       120     0    12     1    10
  2.7904628386920027E-01 a       121     0    13     1     1
  2.4548076850714814E-01 a       122     0    13     1     2
  2.3279702121857893E-01 a       123     0    13     1     3
 -9.1401350240900556E-02 a       124     0    13     1     4
  2.2521612483172251E-01 a       125     0    13     1     5
  2.8644064119776314E-01 a       126     0    13     1     6
 -6.9402532809037409E-02 a       127     0    13     1     7
 -3.6389783836618378E-01 a       128     0    13     1     8
 -1.3688244934143884E-02 a       129     0    13     1     9
  8.3872648211317360E-02 a       130     0    13     1    10
 -2.8401692880381335E-01 a       131     0    14     1     1
  3.2323925522466734E-01 a       132     0    14     1     2
 -3.1786145687568663E-02 a       133     0    14     1     3
  2.9205459177617538E-01 a       134     0    14     1     4
  2.3777003849948058E-01 a       135     0    14     1     5
 -1.2601994158633964E-02 a       136     0    14     1     6
 -2.6424679448179317E-01 a       137     0    14     1     7
 -3.5350008551656387E-01 a       138     0    14     1     8
 -2.6421582425865264E-01 a       139     0    14     1     9
 -4.0490853888886175E-01 a       140     0    14     1    10
 -3.1528040389583201E-01 a       141     0    15     1     1
 -1.7885082438476990E-01 a       142     0    15     1     2
 -2.9796358887967261E-01 a       143     0    15     1     3
  2.7464848374750317E-01 a       144     0    15     1     4
 -1.5092312053513995E-01 a       145     0    15     1     5
 -6.1251708968790765E-02 a       146     0    15     1     6
  3.4899097893502690E-01 a       147     0    15     1     7
  4.0296310026266624E-01 a       148     0    15     1     8
  3.7220319057757627E-02 a       149     0    15     1     9
 -3.5171874869977710E-01 a       150     0    15     1    10
  3.1586565250285675E-01 a       151     0    16     1     1
  1.1368958425419017E-01 a       152     0    16     1     2
 -1.8452534417000765E-01 a       153     0    16     1     3
 -3.5291963221578632E-01 a       154     0    16     1     4
 -1.9131121391664022E-01 a       155     0    16     1     5
 -4.5266384671121174E-01 a       156     0    16     1     6
 -3.9892660603032243E-01 a       157     0    16     1     7
  9.9750534708668057E-02 a       158     0    16     1     8
  8.6607268556212369E-02 a       159     0    16     1     9
  2.0030723496242656E-01 a       160     0    16     1    10
 -3.0043101302819447E-01 a       161     0    17     1     1
 -2.1438416561907164E-01 a       162     0    17     1     2
 -4.0161094662644597E-01 a       163     0    17     1     3
 -6.6993045398178463E-02 a       164     0    17     1     4
 -3.7936648443765203E-01 a       165     0    17     1     5
  2.2506536975764571E-01 a       166     0    17     1     6
 -1.9864761006361362E-01 a       167     0    17     1     7
 -2.9650732728306067E-01 a       168     0    17     1     8
 -2.9141630547071362E-01 a       169     0    17     1     9
 -2.5412905922581575E-01 a       170     0    17     1    10
  3.8568555697828188E-01 a       171     0    18     1     1
 -2.0446842236829318E-01 a       172     0    18     1     2
 -3.0567600093088204E-01 a       173     0    18     1     3
  3.0052420970196548E-02 a       174     0    18     1     4
  2.4632735776043807E-01 a       175     0    18     1     5
 -2.6057383558044201E-02 a       176     0    18     1     6
  4.2076748645703516E-02 a       177     0    18     1     7
 -2.1475685967985084E-01 a       178     0    18     1     8
 -2.7208805970538036E-01 a       179     0    18     1     9
 -4.1652605979596816E-02 a       180     0    18     1    10
 -1.1082264187279124E-01 a       181     0    19     1     1
 -1.5734022740999543E-01 a       182     0    19     1     2
  4.9768524038928719E-01 a       183     0    19     1     3
 -3.6431405914484166E-01 a       184     0    19     1     4
 -3.5816069361408537E-01 a       185     0    19     1     5
  2.6454094634430431E-01 a       186     0    19     1     6
  2.6259888733902947E-01 a       187     0    19     1     7
  2.9946604580778668E-01 a       188     0    19     1     8
 -3.8766120344270745E-02 a       189     0    19     1     9
  2.4701053926548386E-01 a       190     0    19     1    10
 -3.5725164335862669E-01 a       191     0    20     1     1
 -3.3439061401516501E-01 a       192     0    20     1     2
 -9.7684521931983903E-01 a       193     0    20     1     3
  6.8977881524677576E-01 a       194     0    20     1     4
  2.8823491553802727E-01 a       195     0    20     1     5
 -4.1148878693727597E-01 a       196     0    20     1     6
  1.0351077406618947E+00 a       197     0    20     1     7
  1.0943422114517896E+00 a       198     0    20     1     8
  6.7110547506658136E-01 a       199     0    20     1     9
 -9.4201321210656008E-01 a       200     0    20     1    10
 -4.1004472432437250E-01 a       201     0    21     1     1
  5.7704821231342418E-01 a       202     0    21     1     2
  1.1398129149863967E+00 a       203     0    21     1     3
