################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1373680822918587E-01 a         1     0     1     1     1
  7.5270510585426664E-02 a         2     0     1     1     2
  1.2665369195456153E-01 a         3     0     1     1     3
  2.4870608180674794E-01 a         4     0     1     1     4
  9.4248106737638060E-02 a         5     0     1     1     5
  2.0210875706344819E-02 a         6     0     1     1     6
 -1.7179446722046035E-01 a         7     0     1     1     7
 -1.9759064741580762E-02 a         8     0     1     1     8
 -1.0395369651647819E-01 a         9     0     1     1     9
  2.8854570152765774E-01 a        10     0     1     1    10
  2.8437021116270589E-01 a        11     0     2     1     1
 -8.7882037137139407E-02 a        12     0     2     1     2
 -2.5211590419902102E-01 a        13     0     2     1     3
 -2.0939535395624032E-01 a        14     0     2     1     4
 -4.3321390740410776E-02 a        15     0     2     1     5
  1.8420184198583364E-01 a        16     0     2     1     6
  3.2857054197549479E-01 a        17     0     2     1     7
 -2.6065370749322597E-01 a        18     0     2     1     8
  2.5243444718400387E-01 a        19     0     2     1     9
  3.4865919397003314E-01 a        20     0     2     1    10
 -4.1028463014520294E-01 a        21     0     3     1     1
 -2.7962609164806640E-01 a        22     0     3     1     2
  9.6623653055801631E-02 a        23     0     3     1     3
 -4.3180198182285001E-01 a        24     0     3     1     4
  2.7657285842608220E-01 a        25     0     3     1     5
 -6.4335910626088677E-02 a        26     0     3     1     6
 -2.0345865448820166E-01 a        27     0     3     1     7
  3.4522114411709015E-01 a        28     0     3     1     8
 -2.8210137286170434E-01 a        29     0     3     1     9
 -3.9692813405901714E-03 a        30     0     3     1    10
 -2.6178094320370332E-01 a        31     0     4     1     1
 -2.3474979652192937E-01 a        32     0     4     1     2
  3.3652418874515094E-01 a        33     0     4     1     3
  1.6854438869592603E-01 a        34     0     4     1     4
  1.0163125442728176E-01 a        35     0     4     1     5
  1.3262305641073918E-01 a        36     0     4     1     6
 -1.9689728701369427E-01 a        37     0     4     1     7
  2.9098634547506136E-01 a        38     0     4     1     8
  1.5577570183954778E-01 a        39     0     4     1     9
 -1.7058008182463330E-01 a        40     0     4     1    10
 -2.7789839475722378E-01 a        41     0     5     1     1
 -2.4283770906887803E-01 a        42     0     5     1     2
 -1.5786805372199716E-01 a        43     0     5     1     3
  2.5547163389651112E-01 a        44     0     5     1     4
 -1.8815696851484282E-01 a        45     0     5     1     5
 -2.9621738278839443E-01 a        46     0     5     1     6
 -2.1739285970663547E-01 a        47     0     5     1     7
 -1.9845206472463084E-01 a        48     0     5     1     8
  1.0521159542709729E-01 a        49     0     5     1     9
  8.8115713320755976E-02 a        50     0     5     1    10
  4.5057630714138243E-02 a        51     0     6     1     1
  2.2001235449099186E-02 a        52     0     6     1     2
  4.0416381479680502E-01 a        53     0     6     1     3
 -6.7690864580265270E-02 a        54     0     6     1     4
 -1.8616041861809718E-01 a        55     0     6     1     5
 -2.6245542947145201E-01 a        56     0     6     1     6
  2.4752434023153697E-01 a        57     0     6     1     7
  3.5507230005083068E-01 a        58     0     6     1     8
  3.2571392000522437E-01 a        59     0     6     1     9
 -2.6626142639142480E-01 a        60     0     6     1    10
  1.5111467232748441E-01 a        61     0     7     1     1
 -3.0570701583740058E-02 a        62     0     7     1     2
  9.7437822566077539E-02 a        63     0     7     1     3
  1.4721806935519585E-01 a        64     0     7     1     4
 -1.8099468627222917E-01 a        65     0     7     1     5
 -1.6479923867784674E-01 a        66     0     7     1     6
 -3.7657648952369491E-02 a        67     0     7     1     7
 -3.3132792894413610E-01 a        68     0     7     1     8
  6.4238187347357367E-02 a        69     0     7     1     9
  3.5924882931610870E-02 a        70     0     7     1    10
  2.2634362599780530E-01 a        71     0     8     1     1
  4.2233802596491454E-01 a        72     0     8     1     2
 -3.4579290071182689E-01 a        73     0     8     1     3
  2.6669632509208150E-02 a        74     0     8     1     4
 -3.5487234069521695E-01 a        75     0     8     1     5
 -1.6351061589976576E-01 a        76     0     8     1     6
  1.3954737718195562E-01 a        77     0     8     1     7
  1.6780879448516473E-01 a        78     0     8     1     8
 -1.9305445967156817E-01 a        79     0     8     1     9
 -3.6123009886283131E-01 a        80     0     8     1    10
  5.0606415799505110E-02 a        81     0     9     1     1
 -2.2378383795025367E-02 a        82     0     9     1     2
  1.5211011415780096E-01 a        83     0     9     1     3
 -1.3678369559086387E-01 a        84     0     9     1     4
 -3.4735653679386680E-01 a        85     0     9     1     5
  1.6260842781813523E-01 a        86     0     9     1     6
 -1.4779285634979744E-01 a        87     0     9     1     7
 -4.3419782868262208E-01 a        88     0     9     1     8
  3.0847655475208619E-01 a        89     0     9     1     9
  3.8297797688021906E-01 a        90     0     9     1    10
 -1.2575608542226524E-01 a        91     0    10     1     1
 -2.7551978805074173E-01 a        92     0    10     1     2
 -1.5459031926922409E-01 a        93     0    10     1     3
  5.0412199868018509E-02 a        94     0    10     1     4
  5.7291834835159400E-02 a        95     0    10     1     5
 -2.8678458224480660E-02 a        96     0    10     1     6
  2.3733566018610680E-02 a        97     0    10     1     7
  3.1103662061494508E-02 a        98     0    10     1     8
 -1.1951381512760555E-01 a        99     0    10     1     9
  1.0471570529560313E-01 a       100     0    10     1    10
  2.7440021812099391E-01 a       101     0    11     1     1
  1.5582540057879521E-01 a       102     0    11     1     2
 -3.0487624832333621E-01 a       103     0    11     1     3
  4.0669208169821752E-02 a       104     0    11     1     4
  2.7060547360214465E-01 a       105     0    11     1     5
  3.1948094360138451E-01 a       106     0    11     1     6
  2.1377842443856013E-01 a       107     0    11     1     7
 -1.4982986236521128E-02 a       108     0    11     1     8
  3.0689645217808276E-01 a       109     0    11     1     9
  1.2194398295907444E-01 a       110     0    11     1    10
  1.9820843657908446E-01 a       111     0    12     1     1
 -1.0346546299899777E-01 a       112     0    12     1     2
  2.5930520875427080E-02 a       113     0    12     1     3
  4.9354083623082814E-02 a       114     0    12     1     4
  1.1309260387805561E-01 a       115     0    12     1     5
  1.8859796573375991E-02 a       116     0    12     1     6
 -4.8794133393031243E-02 a       117     0    12     1     7
