################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
        48         48   1.00215386E+02   3.90480786E-05   8.99017987E-22   1.23854870E-04   1.43915880E-03   6.94850352E-03
        49         49   1.00216786E+02   4.06115117E-05   9.25772350E-22   1.14890524E-04   1.38219500E-03   7.23486920E-03
        50         50   1.00218122E+02   4.32846358E-05   9.70944542E-22   1.43778253E-04   1.32748589E-03   7.53303674E-03
        51         51   1.00219401E+02   4.57024326E-05   1.01087666E-21   1.39491009E-04   1.27494225E-03   7.84349253E-03
        52         52   1.00220626E+02   4.81779530E-05   1.07601868E-21   1.44023932E-04   1.22447835E-03   8.16674300E-03
        53         53   1.00221816E+02   5.05864042E-05   1.13697785E-21   1.47686084E-04   1.17601188E-03   8.50331545E-03
        54         54   1.00222938E+02   5.32586328E-05   1.20523354E-21   1.55793585E-04   1.12946378E-03   8.85375892E-03
        55         55   1.00224023E+02   5.35448508E-05   1.26222113E-21   1.86502064E-04   1.08475811E-03   9.21864506E-03
        56         56   1.00225061E+02   5.68332470E-05   1.32316857E-21   1.80237251E-04   1.04182195E-03   9.59856910E-03
        57         57   1.00226042E+02   5.98447081E-05   1.38739762E-21   1.75760751E-04   1.00058526E-03   9.99415078E-03
        58         58   1.00226993E+02   6.34170991E-05   1.46704142E-21   1.95035655E-04   9.60980778E-04   1.04060354E-02
        59         59   1.00227879E+02   6.34201820E-05   1.60779041E-21   2.66200574E-04   9.22943890E-04   1.08348948E-02
        60         60   1.00228734E+02   6.69513579E-05   1.72945786E-21   2.02307892E-04   8.86412553E-04   1.12814287E-02
        61         61   1.00229550E+02   7.04658189E-05   1.80076534E-21   2.05927526E-04   8.51327173E-04   1.17463653E-02
        62         62   1.00230352E+02   7.38772718E-05   1.83722182E-21   2.10523895E-04   8.17630520E-04   1.22304632E-02
        63         63   1.00231094E+02   7.76356898E-05   1.89429138E-21   2.21728674E-04   7.85267624E-04   1.27345120E-02
        64         64   1.00231827E+02   8.13474740E-05   1.96660876E-21   2.27443741E-04   7.54185695E-04   1.32593340E-02
        65         65   1.00232500E+02   8.54020072E-05   2.03200970E-21   2.39877483E-04   7.24334029E-04   1.38057852E-02
        66         66   1.00233140E+02   9.03311723E-05   2.14407438E-21   2.69579078E-04   6.95663932E-04   1.43747570E-02
        67         67   1.00233741E+02   9.70674920E-05   2.28229122E-21   3.22604630E-04   6.68128635E-04   1.49671777E-02
        68         68   1.00234319E+02   1.01594227E-04   2.40701875E-21   2.69030445E-04   6.41683222E-04   1.55840135E-02
        69         69   1.00234898E+02   1.06065776E-04   2.48211432E-21   2.75368692E-04   6.16284553E-04   1.62262707E-02
        70         70   1.00235417E+02   1.10958903E-04   2.67957973E-21   2.91208984E-04   5.91891196E-04   1.68949970E-02
        71         71   1.00235909E+02   1.14692611E-04   2.65863211E-21   2.79656873E-04   5.68463361E-04   1.75912832E-02
        72         72   1.00236394E+02   1.15077334E-04   2.79800471E-21   3.60429380E-04   5.45962831E-04   1.83162652E-02
        73         73   1.00236831E+02   1.20529952E-04   2.91821439E-21   3.26897400E-04   5.24352901E-04   1.90711255E-02
        74         74   1.00237245E+02   1.24697923E-04   3.02606882E-21   3.12052024E-04   5.03598321E-04   1.98570956E-02
        75         75   1.00237724E+02   1.25413833E-04   3.06169075E-21   2.10739271E-04   4.83665235E-04   2.06754575E-02
        76         76   1.00238089E+02   1.29919301E-04   3.16802242E-21   3.36318748E-04   4.64521126E-04   2.15275462E-02
        77         77   1.00238355E+02   1.39858343E-04   3.32776208E-21   4.94304724E-04   4.46134767E-04   2.24147517E-02
        78         78   1.00238714E+02   1.46098178E-04   3.41735728E-21   3.92395979E-04   4.28476164E-04   2.33385211E-02
        79         79   1.00239035E+02   1.46864133E-04   3.57846325E-21   4.73717515E-04   4.11516511E-04   2.43003615E-02
        80         80   1.00239306E+02   1.53952327E-04   3.64563306E-21   4.30121297E-04   3.95228144E-04   2.53018418E-02
        81         81   1.00239555E+02   1.61616584E-04   3.82837122E-21   4.56437259E-04   3.79584493E-04   2.63445957E-02
        82         82   1.00239787E+02   1.69305025E-04   3.86725990E-21   4.66334420E-04   3.64560037E-04   2.74303242E-02
        83         83   1.00239998E+02   1.78497328E-04   4.05557388E-21   5.19844018E-04   3.50130270E-04   2.85607983E-02
        84         84   1.00240188E+02   1.86277597E-04   4.21546800E-21   4.87287002E-04   3.36271651E-04   2.97378621E-02
