################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1374064516198446E-01 a         1     0     1     1     1
  7.5278327088895966E-02 a         2     0     1     1     2
  1.2664715635365312E-01 a         3     0     1     1     3
  2.4869208971665113E-01 a         4     0     1     1     4
  9.4248543426484782E-02 a         5     0     1     1     5
  2.0229017261369560E-02 a         6     0     1     1     6
 -1.7178719433901446E-01 a         7     0     1     1     7
 -1.9764032665120543E-02 a         8     0     1     1     8
 -1.0392706937677834E-01 a         9     0     1     1     9
  2.8854743054686599E-01 a        10     0     1     1    10
  2.8436315042714644E-01 a        11     0     2     1     1
 -8.7879385065265936E-02 a        12     0     2     1     2
 -2.5222647480552185E-01 a        13     0     2     1     3
 -2.0938373964868490E-01 a        14     0     2     1     4
 -4.3320307962399239E-02 a        15     0     2     1     5
  1.8421880303346355E-01 a        16     0     2     1     6
  3.2866676373411513E-01 a        17     0     2     1     7
 -2.6062776749401528E-01 a        18     0     2     1     8
  2.5260142234357802E-01 a        19     0     2     1     9
  3.4863261833178899E-01 a        20     0     2     1    10
 -4.1028815538882307E-01 a        21     0     3     1     1
 -2.7961867145991010E-01 a        22     0     3     1     2
  9.6619961258505735E-02 a        23     0     3     1     3
 -4.3181651095958773E-01 a        24     0     3     1     4
  2.7657318860594649E-01 a        25     0     3     1     5
 -6.4318212101337063E-02 a        26     0     3     1     6
 -2.0345333490444106E-01 a        27     0     3     1     7
  3.4521565739788068E-01 a        28     0     3     1     8
 -2.8207845232733475E-01 a        29     0     3     1     9
 -3.9668930602364460E-03 a        30     0     3     1    10
 -2.6178812772385346E-01 a        31     0     4     1     1
 -2.3474822400138975E-01 a        32     0     4     1     2
  3.3640253545847604E-01 a        33     0     4     1     3
  1.6855886457410826E-01 a        34     0     4     1     4
  1.0163231670202831E-01 a        35     0     4     1     5
  1.3263944580619202E-01 a        36     0     4     1     6
 -1.9679109790253557E-01 a        37     0     4     1     7
  2.9101589518801990E-01 a        38     0     4     1     8
  1.5595780617881896E-01 a        39     0     4     1     9
 -1.7060978163120905E-01 a        40     0     4     1    10
 -2.7790133743873968E-01 a        41     0     5     1     1
 -2.4283119930189920E-01 a        42     0     5     1     2
 -1.5786784540346860E-01 a        43     0     5     1     3
  2.5545667394128113E-01 a        44     0     5     1     4
 -1.8815683087725416E-01 a        45     0     5     1     5
 -2.9620077753208729E-01 a        46     0     5     1     6
