################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1         67       1376  -6.87631918E-01  -3.29721996E-01  -5.68237528E-01   4.83200542E-02
         1         68       1376  -1.15113600E+00  -6.67981088E-01  -9.96277104E-01   6.64395874E-02
         1         69       1376  -1.10371472E+00  -7.06936463E-01  -9.85973884E-01   5.26216976E-02
         1         70       1376  -6.31453184E-01  -4.82742053E-01  -5.59285148E-01   2.44996004E-02
         1         71       1376  -7.26723055E-01  -4.64669900E-01  -6.47050361E-01   3.38245180E-02
         1         72       1376   1.53000038E-01   3.98429960E-01   2.87327262E-01   3.17661739E-02
         1         73       1376   5.91969448E-01   8.52507306E-01   7.42002924E-01   4.01027695E-02
         1         74       1376  -8.60356553E-01  -4.25620222E-01  -6.69206081E-01   5.24462968E-02
         1         75       1376   3.35475834E-01   4.76334209E-01   4.12496364E-01   2.29826392E-02
         1         76       1376  -3.84795770E-02   5.91273859E-02   9.14400063E-03   1.43391271E-02
         1         77       1376   2.89064602E-02   1.47108548E-01   8.91276655E-02   1.74005526E-02
         1         78       1376  -1.15189308E-02   1.72629291E-02  -2.66664885E-03   3.79060729E-03
         2          1        688   1.72780036E+00   3.02007056E+00   2.55562452E+00   1.81047332E-01
         2          2        688   5.28302349E-01   1.13478308E+00   9.17028027E-01   8.90121410E-02
         2          3        688   1.34139137E+00   2.32819101E+00   1.96027338E+00   1.41782509E-01
         2          4        688   3.39734546E-01   7.91061769E-01   6.23741752E-01   6.79204694E-02
         2          5        688   9.11986430E-01   1.51755240E+00   1.25749350E+00   9.08405479E-02
         2          6        688   1.40079705E-01   3.97373550E-01   2.87109596E-01   3.95680213E-02
